titleId	conceptId	name	contentId	region	publisherId
CUSA00001_00	10000974	THE PLAYROOM	IP9100-CUSA00001_00-PLAYROOM00000000	IP	IP9100
CUSA00002_00	202335	KILLZONE™ SHADOW FALL	EP9000-CUSA00002_00-KZ4RELEASE000041	EP	EP9000
CUSA00003_00	201172	DRIVECLUB™	EP9000-CUSA00003_00-XXXXXXXDRIVECLUB	EP	EP9000
CUSA00004_00	202138	inFAMOUS™ Second Son	EP9000-CUSA00004_00-SECONDSONSHIP000	EP	EP9000
CUSA00005_00	203706	RESOGUN™	EP9000-CUSA00005_00-RESOGUN000000001	EP	EP9000
CUSA00006_00	202340	KNACK™	EP9000-CUSA00006_00-KNACK00000000000	EP	EP9000
CUSA00007_00	209689	NBA 2K14	UP1001-CUSA00007_00-NBA2K14000000000	UP	UP1001
CUSA00008_00	202335	KILLZONE™ SHADOW FALL	EP9000-CUSA00008_00-KZ4RELEASE000041	EP	EP9000
CUSA00009_00	200089	Assassin's Creed® IV Black Flag	EP0001-CUSA00009_00-AC4GAMEPS4000001	EP	EP0001
CUSA00010_00	200089	Assassin's Creed® IV Black Flag	UP0001-CUSA00010_00-AC4GAMEPS4000001	UP	UP0001
CUSA00011_00	200809	Contrast	UP2092-CUSA00011_00-CONTRASTUS000001	UP	UP2092
CUSA00012_00	200995	DC Universe Online	UP0017-CUSA00012_00-DCUOLPS4LIVE0001	UP	UP0017
CUSA00013_00	212500	F1™ 2015	EP4001-CUSA00013_00-F12015EMASTER000	EP	EP4001
CUSA00014_00	202340	KNACK	JP9000-CUSA00014_00-KNACK00000000000	JP	JP9000
CUSA00015_00	205264	WATCH_DOGS™			
CUSA00016_00	205264	WATCH_DOGS™	EP0001-CUSA00016_00-WATCHDOGS0000000	EP	EP0001
CUSA00017_00	213407	Angry Birds Star Wars	UP0002-CUSA00017_00-ANGRYBSTARWARSDL	UP	UP0002
CUSA00018_00	200759	Call of Duty® Ghosts	UP0002-CUSA00018_00-CALLDUTYGHOSTSDL	UP	UP0002
CUSA00019_00	204304	Skylanders SWAP Force	UP0002-CUSA00019_00-SKYLANDERFORCEDL	UP	UP0002
CUSA00020_00	212500	F1™ 2015	UP4001-CUSA00020_00-F12015AMASTER000	UP	UP4001
CUSA00021_00	205264	WATCH_DOGS™	UP0001-CUSA00021_00-WATCHDOGS0000000	UP	UP0001
CUSA00022_00	205264	WATCH_DOGS™	JP0001-CUSA00022_00-WATCHDOGS0000000	JP	JP0001
CUSA00024_00	204304	Skylanders SWAP Force	EP0002-CUSA00024_00-SKYLANDERFORCEDL	EP	EP0002
CUSA00025_00	200759	Call of Duty® Ghosts	EP0002-CUSA00025_00-CALLDUTYGHOSTSDL	EP	EP0002
CUSA00026_00	200759	Call of Duty® Ghosts			
CUSA00027_00	200759	Call of Duty® Ghosts			
CUSA00028_00	200759	Call of Duty® Ghosts	EP0002-CUSA00028_00-CALLDUTYGHOSTSDL	EP	EP0002
CUSA00029_00	205264	WATCH_DOGS™			
CUSA00030_00	205264	WATCH_DOGS™			
CUSA00031_00	203902	Rayman® Legends	EP0001-CUSA00031_00-RAYMANLEGENDS001	EP	EP0001
CUSA00033_00	204382	SingStar™	EP9000-CUSA00033_00-SINGSTARE3XX2013	EP	EP9000
CUSA00034_00	201305	Escape Plan	UP9000-CUSA00034_00-ESCPGAMEMASTERUS	UP	UP9000
CUSA00035_00	205041	The Order: 1886	UP9000-CUSA00035_00-TO1886GAME000000	UP	UP9000
CUSA00036_00	200951	Doki-Doki Universe™	UP9000-CUSA00036_00-DDU0000000000000	UP	UP9000
CUSA00037_00	203706	RESOGUN™			
CUSA00038_00	203706	RESOGUN™	UP9000-CUSA00038_00-RESOGUN000000002	UP	UP9000
CUSA00039_00	202812	MLB® 14 The Show™	UP9000-CUSA00039_00-MLBTHESHOW14SHIP	UP	UP9000
CUSA00040_00	204435	Sound Shapes	EP9000-CUSA00040_00-SOUNDSHAPES00000	EP	EP9000
CUSA00041_00	202957	N++	UP2108-CUSA00041_00-NPPGAMENPPGAMENP	UP	UP2108
CUSA00042_00	200510	Blacklight: Retribution	UP2102-CUSA00042_00-BLACKLIGHT2ORBIS	UP	UP2102
CUSA00043_00	200420	Basement Crawl	UP4176-CUSA00043_00-BASEMENTCRAWL001	UP	UP4176
CUSA00044_00	202493	LEGO® MARVEL Super Heroes	EP1018-CUSA00044_00-LEGOMARVEL000000	EP	EP1018
CUSA00045_00	204046	Super Motherload	UP2095-CUSA00045_00-SMLPS40000000000	UP	UP2095
CUSA00046_00	200951	Doki-Doki Universe™	EP9000-CUSA00046_00-DDU0000000000000	EP	EP9000
CUSA00047_00	200509	Blast 'Em Bunnies	EP4352-CUSA00047_00-NNBLASTBUNNIESEU	EP	EP4352
CUSA00048_00	200420	Basement Crawl	EP4176-CUSA00048_00-BASEMENTCRAWL001	EP	EP4176
CUSA00049_00	200449	Battlefield 4™	EP0006-CUSA00049_00-BATTLEFIELD40000	EP	EP0006
CUSA00050_00	201129	Dying Light	EP1018-CUSA00050_00-DYINGLIGHTGAME00	EP	EP1018
CUSA00051_00	202136	Injustice: Gods Among Us Ultimate Edition	EP1018-CUSA00051_00-INJUSTICEULTIMAT	EP	EP1018
CUSA00052_00	204880	The LEGO® Movie - Videogame	EP1018-CUSA00052_00-LEGOMOVIE0000000	EP	EP1018
CUSA00053_00	202761	Middle-earth™: Shadow of Mordor™	EP1018-CUSA00053_00-SHADOWOFMORDOR01	EP	EP1018
CUSA00054_00	202765	Mad Max	EP1018-CUSA00054_00-MADMAXTHEGAME001	EP	EP1018
