conceptId	name	publisherId
200006	Ape Escape™ 2	UP9000
200308	Arc the Lad: Twilight of the Spirits™	UP9000
200477	Bully	UP1004
201189	Dark Cloud™	UP9000
201538	FantaVision™	UP9000
201946	Grand Theft Auto 3	UP1004
201957	Grand Theft Auto: San Andreas	UP1004
201960	Grand Theft Auto: Vice City	UP1004
202065	Harvest Moon®: A Wonderful Life Special Edition	UP1014
202070	Harvest Moon®: Save the Homeland	UP1014
202184	Jak 3	UP9000
202185	Jak II	UP9000
202214	Jak and Daxter: The Precursor Legacy™	UP9000
202368	Kinetica™	UP9000
202613	Max Payne	UP1004
202875	METAL SLUG™ ANTHOLOGY	UP0576
202899	Manhunt	UP1004
203179	OKAGE: Shadow King	UP9000
203294	Psychonauts™	UP2154
203325	Puzzle Quest: Challenge of the Warlords™	UP0367
203521	PaRappa the Rapper™ 2	UP9000
203612	Primal™	UP9000
203685	Rise of the Kasai™	UP9000
203705	Rogue Galaxy™	UP9000
203790	Red Faction II	UP4389
203814	Red Dead Revolver	UP1004
204268	Star Wars™: Racer Revenge™	UP1082
204269	Star Wars Bounty Hunter™	UP1082
204271	Star Wars™: Jedi Starfighter™	UP1082
204529	Siren	UP9000
204734	The King of Fighters Collection: The Orochi Saga	UP0576
204757	THE KING OF FIGHTERS 2000™	UP0576
205082	The Warriors	UP1004
205307	Wild Arms™ 3	UP9000
205340	War of the Monsters™	UP9000
206011	ADK DAMASHII™	UP0576
206958	Dark Cloud™ 2	UP9000
207034	Hot Shots Tennis	UP9000
207664	FATAL FURY BATTLE ARCHIVES Vol. 2	UP0576
207808	FU'UN SUPER COMBO	UP0576
210465	Star Ocean®: Till The End Of Time™	UP0082
211291	Samurai Shodown VI	UP0576
211634	The Mark of Kri™	UP9000
212963	Red Faction	UP4389
213305	Twisted Metal: Black™	UP9000
216065	Art of Fighting Anthology	UP0576
216185	Eternal Ring	UP1022
219727	The King of Fighters ’98 Ultimate Match	UP0576
221677	Destroy All Humans! 2	UP4389
221705	Indigo Prophecy™	UP1642
222248	Destroy All Humans!	UP4389
227868	LocoRoco™ Remastered	UP9000
227869	LocoRoco™ 2 Remastered	UP9000
227969	Patapon™ Remastered	UP9000
228148	PaRappa The Rapper™ Remastered	UP9000
229131	Jak X: Combat Racing	UP9000
232117	RESIDENT EVIL™ CODE: Veronica X	UP0102
235243	Patapon™2 Remastered	UP9000
10004394	Ape Escape	UP9000
10004395	Syphon Filter	UP9000
10004409	Wild Arms	UP9000
10004410	I.Q Intelligent Qube	UP9000
10004411	Hot Shots Golf	UP9000
10004412	Kurushi Final: Mental Blocks	UP9000
10004413	Jumping Flash!	UP9000
10004603	Syphon Filter 2	UP9000
10004604	Hot Shots Golf 2	UP9000
10004605	The Legend of Dragoon	UP9000
10004651	Syphon Filter: Logan's Shadow	UP9000
10004652	Syphon Filter: Dark Mirror	UP9000
10004653	Resistance: Retribution	UP9000
10004655	LocoRoco Midnight Carnival	UP9000
10004656	echochrome	UP9000
10004810	Ape Academy	UP9000
10004813	Super Stardust Portable	UP9000
10004898	Worms	UP4064
10004899	Worms Armageddon	UP4064
10004900	Worms World Party	UP4064
10004910	STAR WARS™ Episode I - The Phantom Menace	UP1082
10004921	STAR WARS™ Demolition	UP1082
10004922	STAR WARS™ Rebel Assault II - The Hidden Empire	UP1082
10004933	Disney/Pixar Toy Story 2: Buzz Lightyear to the Rescue!	UP1082
10004937	Disney/Pixar Toy Story 3	UP1082
