titleId	conceptId	name	contentId	region	publisherId	psVR	pS4Pro	pS5BackCompat
CUSA02194_00	200006	Ape Escape™ 2	UP9000-CUSA02194_00-SCES508850000001	UP	UP9000			Bootable
CUSA02269_00	200006	Ape Escape™ 2	EP9000-CUSA02269_00-SCES508850000001	EP	EP9000			Bootable
CUSA02294_00	200006	Ape Escape™ 2						
CUSA01626_00	200008	ABC iview	EP4443-CUSA01626_00-ABC0IVIEW0000000	EP	EP4443			Not Compatible
CUSA01515_00	200010	Abyss Odyssey: Extended Dream Edition	UP0005-CUSA01515_00-ABYSSODYSSEYXPS4	UP	UP0005			Compatible
CUSA01878_00	200010	Abyss Odyssey: Extended Dream Edition	EP0005-CUSA01878_00-ABYSSODYSSEYXPS4	EP	EP0005			Compatible
CUSA01220_00	200030	Aabs Animals						
CUSA01221_00	200030	Aabs Animals	EP4414-CUSA01221_00-AABSANIMALS00PS4	EP	EP4414			Compatible
CUSA01231_00	200030	Aabs Animals	UP5013-CUSA01231_00-AABSANIMALS00PS4	UP	UP5013			Compatible
CUSA02918_00	200033	AIPD	EP8920-CUSA02918_00-GAMEXXXXXXXXXXXX	EP	EP8920			Compatible
CUSA03225_00	200033	AIPD	UP1441-CUSA03225_00-GAMEXXXXXXXXXXXX	UP	UP1441			Compatible
CUSA01237_00	200034	Apotheon	UP4525-CUSA01237_00-00APOTHEONFORPS4	UP	UP4525			Compatible
CUSA01366_00	200034	Apotheon	EP4525-CUSA01366_00-00APOTHEONFORPS4	EP	EP4525			Compatible
CUSA02661_00	200046	A Boy and His Blob	EP1012-CUSA02661_00-BOYANDBLOBEU0000	EP	EP1012			Compatible
CUSA02700_00	200046	A Boy and His Blob	UP1012-CUSA02700_00-BOYANDBLOB000000	UP	UP1012			Compatible
CUSA02331_00	200049	Afro Samurai 2: Revenge of Kuma Volume 1	UP0134-CUSA02331_00-0000111122223333	UP	UP0134			Not Compatible
CUSA02338_00	200049	Afro Samurai 2: Revenge of Kuma Volume 1	EP0131-CUSA02338_00-0000111122223333	EP	EP0131			Not Compatible
CUSA03249_00	200049	Afro Samurai 2: Revenge of Kuma Volume 1						
CUSA03250_00	200049	Afro Samurai 2: Revenge of Kuma Volume 1						
CUSA03321_00	200049	Afro Samurai 2: Revenge of Kuma Volume 1						
CUSA03324_00	200049	Afro Samurai 2: Revenge of Kuma Volume 1						
CUSA01444_00	200050	APB Reloaded	UP2047-CUSA01444_00-APBRELOADEDHDD01	UP	UP2047		Supported	Bootable
CUSA01492_00	200050	APB Reloaded	EP4062-CUSA01492_00-APBRELOADEDHDD01	EP	EP4062		Supported	Bootable
CUSA02023_00	200050	APB Reloaded						
CUSA00475_00	200075	AKIBA'S TRIP 2	JP0048-CUSA00475_00-AKIBASNEXTAPP000	JP	JP0048			Compatible
CUSA01038_00	200075	AKIBA'S TRIP 2	HP0048-CUSA01038_00-AKIBASNEXTAPP000	HP	HP0048			Compatible
CUSA01166_00	200075	AKIBA'S TRIP: UNDEAD ＆ UNDRESSED	UP1023-CUSA01166_00-AKIBASNEXTAPP000	UP	UP1023			Compatible
CUSA01539_00	200075	AKIBA'S TRIP: UNDEAD ＆ UNDRESSED	EP1063-CUSA01539_00-AKIBASNEXTAPP000	EP	EP1063			Compatible
CUSA06472_00	200075	AKIBA'S TRIP 2+A	JP0048-CUSA06472_00-AKIBASNEXTAPP000	JP	JP0048			Compatible
CUSA00476_00	200088	Assassin's Creed® Unity	JP0001-CUSA00476_00-AC5GAMEPS4000001	JP	JP0001			Compatible
CUSA00605_00	200088	Assassin's Creed® Unity	EP0001-CUSA00605_00-AC5GAMEPS4000001	EP	EP0001			Compatible
CUSA00606_00	200088	Assassin's Creed® Unity	EP0001-CUSA00606_00-AC5GAMEPS4000001	EP	EP0001			Compatible
CUSA00607_00	200088	Assassin's Creed® Unity						
CUSA00663_00	200088	Assassin's Creed® Unity	UP0001-CUSA00663_00-AC5GAMEPS4000001	UP	UP0001			Compatible
CUSA00966_00	200088	Assassin's Creed® Unity						
CUSA01199_00	200088	Assassin's Creed® Unity						
CUSA01270_00	200088	Assassin's Creed® Unity Internal Beta	UP0001-CUSA01270_00-AC5BETAPS4000001	UP	UP0001			
CUSA00009_00	200089	Assassin's Creed® IV Black Flag	EP0001-CUSA00009_00-AC4GAMEPS4000001	EP	EP0001			Compatible
CUSA00010_00	200089	Assassin's Creed® IV Black Flag	UP0001-CUSA00010_00-AC4GAMEPS4000001	UP	UP0001			Compatible
CUSA00206_00	200089	Assassin's Creed® IV Black Flag	JP0001-CUSA00206_00-AC4GAMEPS4000001	JP	JP0001			Compatible
CUSA00215_00	200089	Assassin's Creed® IV Black Flag						
CUSA00416_00	200098	Assassin's Creed® Freedom Cry	UP0001-CUSA00416_00-ACBFDLCSPSA00001	UP	UP0001			Compatible
CUSA00435_00	200098	Assassin's Creed® Freedom Cry	EP0001-CUSA00435_00-ACBFDLCSPSA00001	EP	EP0001			Compatible
CUSA00441_00	200098	Assassin's Creed® Freedom Cry	JP0001-CUSA00441_00-ACBFDLCSPSA00001	JP	JP0001			Compatible
CUSA01329_00	200102	Assassin’s Creed® Chronicles: China	EP0001-CUSA01329_00-ACCHRONICLESEP01	EP	EP0001			Compatible
CUSA01406_00	200102	Assassin’s Creed® Chronicles: China	JP0001-CUSA01406_00-ACCHRONICLESEP01	JP	JP0001			Compatible
CUSA02960_00	200102	Assassin's Creed Chronicles: China						
CUSA34563_00	200102	Assassin’s Creed® Chronicles: China						
CUSA01182_00	200106	Aces of the Luftwaffe	EP4539-CUSA01182_00-AOTL201407280941	EP	EP4539			Compatible
CUSA02456_00	200106	Aces of the Luftwaffe	UP0977-CUSA02456_00-AOTL201407280941	UP	UP0977			Compatible
CUSA03252_00	200115	Agatha Christie - The ABC Murders	EP4295-CUSA03252_00-THEABCMURDERS001	EP	EP4295			Compatible
CUSA03265_00	200115	Agatha Christie - The ABC Murders	UP1475-CUSA03265_00-THEABCMURDERS011	UP	UP1475			Compatible
CUSA04946_00	200115	Agatha Christie - The ABC Murders						
CUSA04955_00	200115	Agatha Christie - The ABC Murders						
CUSA05747_00	200115	Agatha Christie - The ABC Murders	JP0186-CUSA05747_00-THEABCMURDERS000	JP	JP0186			Compatible
CUSA47471_00	200115	Agatha Christie - The ABC Murders						
CUSA02892_00	200119	Action Henk	UP4395-CUSA02892_00-ACTIONHENKPS4US0	UP	UP4395			Compatible
CUSA02910_00	200119	Action Henk	EP4395-CUSA02910_00-ACTIONHENKPS4000	EP	EP4395			Compatible
CUSA01584_00	200123	アスタブリード	JP0122-CUSA01584_00-ASTEBREED0000000	JP	JP0122			Compatible
CUSA02165_00	200123	ASTEBREED	EP0122-CUSA02165_00-ASTEBREED0000000	EP	EP0122			Compatible
CUSA02225_00	200123	ASTEBREED	UP0969-CUSA02225_00-ASTEBREED0000000	UP	UP0969			Compatible
CUSA01906_00	200127	ASSAULT SUIT LEYNOS	JP0160-CUSA01906_00-ASSAULTSUIT00001	JP	JP0160			Compatible
CUSA01931_00	200127	ASSAULT SUITS LEYNOS Trial	JP0160-CUSA01931_00-LEYTRIAL00000001	JP	JP0160			
CUSA03504_00	200127	ASSAULT SUITS LEYNOS Trial ver. 2	JP0160-CUSA03504_00-DRACUELAYNOSTRY2	JP	JP0160			
CUSA03659_00	200127	ASSAULT SUITS LEYNOS Trial ver. 3	JP0160-CUSA03659_00-DRACUELAYNOSTRY3	JP	JP0160			
CUSA03879_00	200127	Assault Suit Leynos						
CUSA04727_00	200127	Assault Suit Leynos	UP4034-CUSA04727_00-ASLEYNOS00000000	UP	UP4034			Compatible
CUSA04803_00	200127	Assault Suit Leynos	EP4034-CUSA04803_00-ASLEYNOS00000000	EP	EP4034			Compatible
CUSA01193_00	200129	Assault Android Cactus	EP8926-CUSA01193_00-CACTUS0000000001	EP	EP8926			Compatible
CUSA03161_00	200129	Assault Android Cactus	UP1520-CUSA03161_00-CACTUS0000000001	UP	UP1520			Compatible
CUSA04441_00	200129	Assault Android Cactus	JP0122-CUSA04441_00-CACTUS0000000001	JP	JP0122			Compatible
CUSA01230_00	200132	Axiom Verge	UP2149-CUSA01230_00-AXIOMVERGE001PS4	UP	UP2149			Compatible
CUSA01234_00	200132	Axiom Verge	UP2149-CUSA01234_00-AXIOMVGKIOSKDEMO	UP	UP2149			
CUSA02312_00	200132	Axiom Verge	EP0850-CUSA02312_00-AXIOMVERGE001PS4	EP	EP0850			Compatible
CUSA00147_00	200137	Awesomenauts Assemble!	EP4362-CUSA00147_00-AWESOMENAUTSPS40	EP	EP4362			Compatible
CUSA00261_00	200137	Awesomenauts Assemble!	UP4362-CUSA00261_00-AWESOMENAUTSPS40	UP	UP4362			Compatible
CUSA01264_00	200137	Awesomenauts Assemble!	EP4362-CUSA01264_00-AWESOMENAUTSPS40	EP	EP4362			Compatible
CUSA01404_00	200137	Awesomenauts Assemble!	UP4362-CUSA01404_00-AWESOMENAUTSPS40	UP	UP4362			Compatible
CUSA03497_00	200163	進撃の巨人	JP0106-CUSA03497_00-AT1JPHDDGAME0000	JP	JP0106			Compatible
CUSA03662_00	200163	A.O.T. Wings of Freedom	EP4108-CUSA03662_00-AT1EUHDDGAME0000	EP	EP4108			Compatible
CUSA03804_00	200163	Attack on Titan	UP4108-CUSA03804_00-AT1NAHDDGAME0000	UP	UP4108			Compatible
