titleId	conceptId	name	contentId	region	publisherId
PPSA10231_00	10004699	[DEMO] Star Wars: Tales from the Galaxy's Edge - Enhanced Edition	UP1082-PPSA10231_00-CHALUPA000000000	UP	UP1082
PPSA10232_00	10004699	[DEMO] Star Wars: Tales from the Galaxy's Edge - Enhanced Edition	EP1006-PPSA10232_00-CHALUPA000000000	EP	EP1006
PPSA10234_00	10004699	[DEMO] Star Wars: Tales from the Galaxy's Edge - Enhanced Edition	HP1082-PPSA10234_00-CHALUPA000000000	HP	HP1082
PPSA10233_00	10004699	[デモ] スター・ウォーズ：テールズ・フロム・ザ・ギャラクシーズ・エッジ - 拡張版	JP1780-PPSA10233_00-CHALUPA000000000	JP	JP1780
PPSA15892_00	10007363	『Elypse』	JP0075-PPSA15892_00-ELYPSEJP00000000	JP	JP0075
PPSA02480_00	10000176	『Returnal』デジタルサウンドトラック	JP9000-PPSA02480_00-RETURNALOST00001	JP	JP9000
PPSA04720_00	10003143	『アノ1800』コンソールエディション	JP0001-PPSA04720_00-ANNO1800PS000000	JP	JP0001
PPSA19174_00	10009435	#Halloween, Super Puzzles Dream	EP8311-PPSA19174_00-0421646910657705	EP	EP8311
PPSA19175_00	10009435	#Halloween, Super Puzzles Dream	UP8121-PPSA19175_00-0961125378915448	UP	UP8121
PPSA06054_00	10001700	#SinucaAttack	UP2005-PPSA06054_00-SINUCA0000000000	UP	UP2005
PPSA06055_00	10001700	#SinucaAttack	EP2005-PPSA06055_00-SINUCA0000000000	EP	EP2005
PPSA06056_00	10001700	#SinucaAttack	HP2005-PPSA06056_00-SINUCA0000000000	HP	HP2005
PPSA16513_00	10008401	#Wish Travel, Super Puzzles Dream	EP8311-PPSA16513_00-0233078860249892	EP	EP8311
PPSA16514_00	10008401	#Wish Travel, Super Puzzles Dream	UP8121-PPSA16514_00-0496784447132718	UP	UP8121
PPSA13840_00	10007378	#WomenUp, Super Puzzles Dream	EP8311-PPSA13840_00-0277389480637871	EP	EP8311
PPSA13841_00	10007378	#WomenUp, Super Puzzles Dream	UP8121-PPSA13841_00-0074221520084845	UP	UP8121
PPSA12662_00	10006970	#Xmas, Super Puzzles Dream	EP8311-PPSA12662_00-0212989199890961	EP	EP8311
PPSA12663_00	10006970	#Xmas, Super Puzzles Dream	UP8121-PPSA12663_00-0617246899458711	UP	UP8121
PPSA10469_00	10006222	<RUNNER>	UP0964-PPSA10469_00-0859159378301341	UP	UP0964
PPSA05877_00	10002669	0 Degrees	UP2005-PPSA05877_00-ZERODEGREES00000	UP	UP2005
PPSA05878_00	10002669	0 Degrees	EP2005-PPSA05878_00-ZERODEGREES00000	EP	EP2005
PPSA05879_00	10002669	0 Degrees	HP2005-PPSA05879_00-ZERODEGREES00000	HP	HP2005
PPSA19488_00	10009555	10 Seconds to Win!			
PPSA19489_00	10009555	10 Seconds to Win!			
PPSA03921_00	10000939	112th Seed	UP2005-PPSA03921_00-112THSEED0000000	UP	UP2005
PPSA03922_00	10000939	112th Seed	EP2005-PPSA03922_00-112THSEED0000000	EP	EP2005
PPSA03923_00	10000939	112th Seed	JP0078-PPSA03923_00-112THSEED0000000	JP	JP0078
PPSA03924_00	10000939	112th Seed	HP2005-PPSA03924_00-112THSEED0000000	HP	HP2005
PPSA05219_00	10003781	20 Bunnies	UP2005-PPSA05219_00-TWENTYBUNNIES000	UP	UP2005
PPSA05220_00	10003781	20 Bunnies	EP2005-PPSA05220_00-TWENTYBUNNIES000	EP	EP2005
PPSA05221_00	10003781	20 Bunnies	HP2005-PPSA05221_00-TWENTYBUNNIES000	HP	HP2005
PPSA01531_00	10000903	20200520 Game 00001 TITLE LEVEL			
PPSA01541_00	10000903	20200520 Game 00001 TITLE LEVEL			
PPSA11501_00	10006525	2MD: VR Football Unleashed ALL-STAR	UP0964-PPSA11501_00-4069570327247580	UP	UP0964
PPSA14332_00	10006525	2MD: VR Football Unleashed ALL-STAR	EP0967-PPSA14332_00-0528755903035357	EP	EP0967
PPSA17626_00	10008873	30 sports in 1	EP8208-PPSA17626_00-30SI100GAMEEUR01	EP	EP8208
PPSA17627_00	10008873	30 sports in 1	UP8016-PPSA17627_00-30SI100GAMEUSA01	UP	UP8016
PPSA02799_00	231706	3D Billiards	EP1629-PPSA02799_00-THREEDBILLIARDSX	EP	EP1629
PPSA02800_00	231706	3D Billiards - Pool & Snooker	UP1643-PPSA02800_00-THREEDBILLIARDSX	UP	UP1643
PPSA06305_00	10004382	3D Color Labyrinth	EP3945-PPSA06305_00-0000000000000000	EP	EP3945
PPSA06306_00	10004382	3D Color Labyrinth	HP4053-PPSA06306_00-0000000000000000	HP	HP4053
PPSA06307_00	10004382	3D Color Labyrinth	JP4135-PPSA06307_00-0000000000000000	JP	JP4135
PPSA06316_00	10004382	3D Color Labyrinth	UP4196-PPSA06316_00-0000000000000000	UP	UP4196
PPSA03646_00	228786	3DMiniGolf	EP1629-PPSA03646_00-3DMINIGOLFGAME00	EP	EP1629
PPSA03647_00	228786	3DMiniGolf	UP1643-PPSA03647_00-3DMINIGOLFGAME00	UP	UP1643
PPSA04583_00	10003410	41 Hours	UP2005-PPSA04583_00-41HOURSGAME00000	UP	UP2005
PPSA04584_00	10003410	41 Hours	EP2005-PPSA04584_00-41HOURSGAME00000	EP	EP2005
PPSA15616_00	10008071	502's Arcade			
PPSA15617_00	10008071	502's Arcade			
PPSA05780_00	10004110	6Souls	EP0896-PPSA05780_00-RATALAIKAG6SOULS	EP	EP0896
PPSA05781_00	10004110	6Souls	UP0891-PPSA05781_00-RATALAIKAG6SOULS	UP	UP0891
PPSA10119_00	10006132	7 Days of Rose	EP0896-PPSA10119_00-7DAYSOFROSERAGAM	EP	EP0896
PPSA10120_00	10006132	7 Days of Rose	UP0891-PPSA10120_00-7DAYSOFROSERAGAM	UP	UP0891
PPSA16569_00	10008431	8 & 9 Ball Pocket	UP6927-PPSA16569_00-0454862210105430	UP	UP6927
PPSA16570_00	10008431	8 & 9 Ball Pocket	EP6922-PPSA16570_00-0832245502618583	EP	EP6922
PPSA16571_00	10008431	8 & 9 Ball Pocket	JP5432-PPSA16571_00-0108125182499195	JP	JP5432
PPSA05900_00	10004178	8-Ball Pocket	UP6927-PPSA05900_00-0220524978643458	UP	UP6927
PPSA05901_00	10004178	8-Ball Pocket	EP6922-PPSA05901_00-3014367257254857	EP	EP6922
