titleId	conceptId	name	contentId	region	publisherId	psVR	pS4Pro	pS5BackCompat
CUSA02194_00	200006	Ape Escape™ 2	UP9000-CUSA02194_00-SCES508850000001	UP	UP9000			Bootable
CUSA01515_00	200010	Abyss Odyssey: Extended Dream Edition	UP0005-CUSA01515_00-ABYSSODYSSEYXPS4	UP	UP0005			Compatible
CUSA01231_00	200030	Aabs Animals	UP5013-CUSA01231_00-AABSANIMALS00PS4	UP	UP5013			Compatible
CUSA03225_00	200033	AIPD	UP1441-CUSA03225_00-GAMEXXXXXXXXXXXX	UP	UP1441			Compatible
CUSA01237_00	200034	Apotheon	UP4525-CUSA01237_00-00APOTHEONFORPS4	UP	UP4525			Compatible
CUSA02700_00	200046	A Boy and His Blob	UP1012-CUSA02700_00-BOYANDBLOB000000	UP	UP1012			Compatible
CUSA02331_00	200049	Afro Samurai 2: Revenge of Kuma Volume 1	UP0134-CUSA02331_00-0000111122223333	UP	UP0134			Not Compatible
CUSA01444_00	200050	APB Reloaded	UP2047-CUSA01444_00-APBRELOADEDHDD01	UP	UP2047		Supported	Bootable
CUSA01166_00	200075	AKIBA'S TRIP: UNDEAD ＆ UNDRESSED	UP1023-CUSA01166_00-AKIBASNEXTAPP000	UP	UP1023			Compatible
CUSA00663_00	200088	Assassin's Creed® Unity	UP0001-CUSA00663_00-AC5GAMEPS4000001	UP	UP0001			Compatible
CUSA01270_00	200088	Assassin's Creed® Unity Internal Beta	UP0001-CUSA01270_00-AC5BETAPS4000001	UP	UP0001			
CUSA00010_00	200089	Assassin's Creed® IV Black Flag	UP0001-CUSA00010_00-AC4GAMEPS4000001	UP	UP0001			Compatible
CUSA00416_00	200098	Assassin's Creed® Freedom Cry	UP0001-CUSA00416_00-ACBFDLCSPSA00001	UP	UP0001			Compatible
CUSA02456_00	200106	Aces of the Luftwaffe	UP0977-CUSA02456_00-AOTL201407280941	UP	UP0977			Compatible
CUSA03265_00	200115	Agatha Christie - The ABC Murders	UP1475-CUSA03265_00-THEABCMURDERS011	UP	UP1475			Compatible
CUSA02892_00	200119	Action Henk	UP4395-CUSA02892_00-ACTIONHENKPS4US0	UP	UP4395			Compatible
CUSA02225_00	200123	ASTEBREED	UP0969-CUSA02225_00-ASTEBREED0000000	UP	UP0969			Compatible
CUSA04727_00	200127	Assault Suit Leynos	UP4034-CUSA04727_00-ASLEYNOS00000000	UP	UP4034			Compatible
CUSA03161_00	200129	Assault Android Cactus	UP1520-CUSA03161_00-CACTUS0000000001	UP	UP1520			Compatible
CUSA01230_00	200132	Axiom Verge	UP2149-CUSA01230_00-AXIOMVERGE001PS4	UP	UP2149			Compatible
CUSA01234_00	200132	Axiom Verge	UP2149-CUSA01234_00-AXIOMVGKIOSKDEMO	UP	UP2149			
CUSA00261_00	200137	Awesomenauts Assemble!	UP4362-CUSA00261_00-AWESOMENAUTSPS40	UP	UP4362			Compatible
CUSA01404_00	200137	Awesomenauts Assemble!	UP4362-CUSA01404_00-AWESOMENAUTSPS40	UP	UP4362			Compatible
CUSA03804_00	200163	Attack on Titan	UP4108-CUSA03804_00-AT1NAHDDGAME0000	UP	UP4108			Compatible
CUSA02432_00	200172	Atom Universe	UP0951-CUSA02432_00-ATOMUNIVERSE0002	UP	UP0951		Supported	Compatible
CUSA02444_00	200172	Atom Universe Demo	UP0951-CUSA02444_00-ATOMUNIVERSEDEMO	UP	UP0951			
CUSA03732_00	200172	Atom Universe	UP0951-CUSA03732_00-ATOMUNIVERSE0001	UP	UP0951			Compatible
CUSA03135_00	200174	Attractio	UP0700-CUSA03135_00-ATTGCTEAMPS42015	UP	UP0700			Compatible
CUSA03561_00	200174	Attractio - Kiosk Demo	UP0700-CUSA03561_00-ATTGCDEMOPS42015	UP	UP0700			
CUSA02842_00	200175	AeternoBlade	UP4252-CUSA02842_00-AETERNOBLADE0001	UP	UP4252			Compatible
CUSA06683_00	200178	ACA NEOGEO ALPHA MISSION II	UP0571-CUSA06683_00-HAMPRDC000000001	UP	UP0571		Supported	Compatible
CUSA12492_00	200179	Arcade Archives ALPHA MISSION	UP0571-CUSA12492_00-HAMPRDC000000001	UP	UP0571		Supported	Compatible
CUSA04926_00	200190	Atelier Sophie ~The Alchemist of the Mysterious Book~	UP4108-CUSA04926_00-SOPHIE00MASTER00	UP	UP4108			Compatible
CUSA00363_00	200213	Alien: Isolation™	UP0177-CUSA00363_00-ALIENISOLATIONP4	UP	UP0177			Compatible
CUSA04651_00	200220	Alien Shooter	UP4384-CUSA04651_00-ALIENSHOOTERPS4U	UP	UP4384			Compatible
CUSA02480_00	200230	Amplitude	UP8802-CUSA02480_00-HMXAMPLITUDE2015	UP	UP8802			Compatible
CUSA04086_00	200230	Amplitude	UP8802-CUSA04086_00-WINTERKIOSKDEMO1	UP	UP8802			Compatible
CUSA00130_00	200242	Prime Video	UP2064-CUSA00130_00-AIV00000000000US	UP	UP2064			Not Compatible
CUSA02877_00	200242	Molly Beta	UP2064-CUSA02877_00-AIVUSBETA0000PS4	UP	UP2064			
