titleId	conceptId	name	contentId	region	publisherId	psVR	pS4Pro	pS5BackCompat
CUSA03875_00	202321	-KLAUS-	EP0400-CUSA03875_00-0000000000000000	EP	EP0400			Compatible
CUSA04096_00	202321	-KLAUS-	EP0400-CUSA04096_00-0000000000000000	EP	EP0400			Compatible
CUSA04875_00	202321	-KLAUS-	EP0400-CUSA04875_00-0000000000000000	EP	EP0400			
CUSA07691_00	230675	.hack//G.U. Last Recode	EP0700-CUSA07691_00-HACKGURECODE0000	EP	EP0700		Supported	Compatible
CUSA10716_00	230675	.hack//G.U. Last Recode Demo	EP0700-CUSA10716_00-HACKGURECODEDEMO	EP	EP0700		Supported	
CUSA45237_00	10009237	.T.E.S.T: Expected Behaviour	EP7860-CUSA45237_00-TESTEXPECTEDBEEU	EP	EP7860		Supported	Compatible
CUSA09781_00	230005	'n Verlore Verstand	EP3473-CUSA09781_00-0000000000000000	EP	EP3473		Supported	Compatible
CUSA14459_00	230005	'n Verlore Verstand - Demo	EP3473-CUSA14459_00-0000000000000011	EP	EP3473		Supported	
CUSA13987_00	230005	'n Verlore Verstand - Soundtrack	EP3473-CUSA13987_00-0000000000000000	EP	EP3473		Supported	Compatible
CUSA41049_00	10007454	"""Buy The Game, I Have a Gun"" -Sheesh-Man"	EP7603-CUSA41049_00-0081435904286737	EP	EP7603		Supported	Compatible
CUSA41273_00	10007454	"""Buy The Game, I Have a Gun"" -Sheesh-Man : Digital Deluxe Mega Chad Edition"	EP7603-CUSA41273_00-0623688910030618	EP	EP7603		Supported	Compatible
CUSA55291_00	10015665	(Dis)Assemble	EP8701-CUSA55291_00-0020781781815563	EP	EP8701		Supported	Compatible
CUSA13566_00	232084	[BETA] Divinity: Original Sin 2 - Definitive Edition	EP3383-CUSA13566_00-ORIGINALSIN2DEB2	EP	EP3383		Supported	Compatible
CUSA01766_00	203586	[PROTOTYPE®]	EP0002-CUSA01766_00-PROTOTYPEPS42014	EP	EP0002			Compatible
CUSA01765_00	203587	[PROTOTYPE®2]	EP0002-CUSA01765_00-PROTOTYPE0022014	EP	EP0002			Compatible
CUSA02339_00	203587	[PROTOTYPE®2]	EP0002-CUSA02339_00-PROTOTYPE0022014	EP	EP0002			Compatible
CUSA13768_00	230635	【DEMO】Taiko no Tatsujin: Drum Session!	EP0700-CUSA13768_00-TAIKONOTATSUJIN1	EP	EP0700		Supported	
CUSA46883_00	10010010	#BLUD	EP3717-CUSA46883_00-064335689877BLUD	EP	EP3717			Compatible
CUSA17692_00	235073	#Funtime	EP1430-CUSA17692_00-FUNTIMEEU0000000	EP	EP1430		Supported	Compatible
CUSA00849_00	202326	#KILLALLZOMBIES	EP4101-CUSA00849_00-SOCIALSHAREARENA	EP	EP4101			Compatible
CUSA25069_00	10001700	#SinucaAttack	EP2005-CUSA25069_00-SINUCA0000000000	EP	EP2005			Compatible
CUSA55559_00	10015863	%	EP5645-CUSA55559_00-0101010101010101	EP	EP5645			Compatible
CUSA03741_00	229278	+tdp	EP4490-CUSA03741_00-00000TELEDEPORTE	EP	EP4490			
CUSA05982_00	217641	√Letter	EP4293-CUSA05982_00-PKG000000000GAME	EP	EP4293			Compatible
CUSA15629_00	232857	√Letter Root Letter　Last Answer	EP4293-CUSA15629_00-PKG000000000GAME	EP	EP4293		Supported	Compatible
