titleId	conceptId	name	contentId	region	publisherId
PPSA01285_00	10000176	Returnal	EP9000-PPSA01285_00-RETURNAL00000000	EP	EP9000
PPSA01288_00	10000177	Sackboy™: A Big Adventure	EP9000-PPSA01288_00-SACKBOYADVENTURE	EP	EP9000
PPSA01316_00	10000956	Gran Turismo™ 7	EP9001-PPSA01316_00-GRANTURISMO70000	EP	EP9001
PPSA01326_00	10000278	FIFA 21	EP0006-PPSA01326_00-FIFAFOOTBALL2021	EP	EP0006
PPSA01341_00	10000368	Demon's Souls	EP9000-PPSA01341_00-DEMONSSOULS00000	EP	EP9000
PPSA01344_00	235080	Madden NFL 21	EP0006-PPSA01344_00-MADDENNFL21GAME1	EP	EP0006
PPSA01349_00	10000428	Godfall	EP0290-PPSA01349_00-GODFALL000000000	EP	EP0290
PPSA01363_00	10000579	WRC 9 FIA World Rally Championship	EP4008-PPSA01363_00-WRC9SIEE00000000	EP	EP4008
PPSA01372_00	10000459	RIDERS REPUBLIC™	EP0001-PPSA01372_00-MADGAMESCEEEUR00	EP	EP0001
PPSA01388_00	10000470	NBA 2K21	EP1001-PPSA01388_00-NBA2K21000000000	EP	EP1001
PPSA01397_00	203897	Tom Clancy's Rainbow Six® Siege	EP0001-PPSA01397_00-RAINBOWSIXSIEGE0	EP	EP0001
PPSA01408_00	10000642	Just Dance® 2021	EP0001-PPSA01408_00-JD2021PS5SCEE000	EP	EP0001
PPSA01412_00	216600	No Man's Sky	EP2034-PPSA01412_00-NOMANSSKYHG00001	EP	EP2034
PPSA01417_00	10000649	Marvel's Spider-Man: Miles Morales	EP9000-PPSA01417_00-MARVELSSMMORALES	EP	EP9000
PPSA01427_00	10000684	DEATHVERSE: LET IT DIE	EP0747-PPSA01427_00-EAGAPP0000000000	EP	EP0747
PPSA01430_00	10000278	FIFA 21	EP0006-PPSA01430_00-FIFAFOOTBALL2021	EP	EP0006
PPSA01431_00	10000278	FIFA 21	EP0006-PPSA01431_00-FIFAFOOTBALL2021	EP	EP0006
PPSA01432_00	10000278	FIFA 21	EP0006-PPSA01432_00-FIFAFOOTBALL2021	EP	EP0006
PPSA01443_00	227315	Devil May Cry 5 Special Edition	EP0102-PPSA01443_00-DMC5000000000001	EP	EP0102
PPSA01445_00	233226	Warhammer: Chaosbane - Slayer Edition	EP4008-PPSA01445_00-WHCBSIEE00000000	EP	EP4008
PPSA01460_00	10000649	Marvel's Spider-Man: Miles Morales	EP9000-PPSA01460_00-MARVELSSMMORALES	EP	EP9000
PPSA01461_00	10000649	Marvel's Spider-Man: Miles Morales	EP9000-PPSA01461_00-MARVELSSMMORALES	EP	EP9000
PPSA01463_00	227478	Borderlands® 3	EP1001-PPSA01463_00-0000000OAKNGSIEE	EP	EP1001
PPSA01465_00	10000758	Battlefield™ 2042	EP0006-PPSA01465_00-KINGSTONGAME0000	EP	EP0006
PPSA01468_00	10000762	Marvel's Spider-Man Remastered	EP9000-PPSA01468_00-MARVELSSPIDERMAN	EP	EP9000
PPSA01469_00	10000762	Marvel's Spider-Man Remastered	EP9000-PPSA01469_00-MARVELSSPIDERMAN	EP	EP9000
PPSA01470_00	10000762	Marvel's Spider-Man Remastered	EP9000-PPSA01470_00-MARVELSSPIDERMAN	EP	EP9000
PPSA01474_00	10000669	Ratchet & Clank: Rift Apart	EP9000-PPSA01474_00-RATCHETCLANKRIFT	EP	EP9000
PPSA01488_00	232581	Watch Dogs®: Legion	EP0001-PPSA01488_00-ORWFULLGAME00000	EP	EP0001
PPSA01490_00	10000237	Assassin's Creed® Valhalla	EP0001-PPSA01490_00-GAME000000000000	EP	EP0001
PPSA01493_00	10000818	Tiny Tina's Wonderlands	EP1001-PPSA01493_00-00000000DAFFODIL	EP	EP1001
PPSA01500_00	232581	Watch Dogs®: Legion	EP0001-PPSA01500_00-ORWFULLGAME00000	EP	EP0001
PPSA01501_00	232581	Watch Dogs®: Legion	EP0001-PPSA01501_00-ORWFULLGAME00000	EP	EP0001
PPSA01503_00	10000854	Bugsnax	EP2104-PPSA01503_00-BSNAX60962576975	EP	EP2104
PPSA01506_00	234423	Immortals Fenyx Rising ™	EP0001-PPSA01506_00-GAME000000000000	EP	EP0001
PPSA01509_00	234423	Immortals Fenyx Rising ™	EP0001-PPSA01509_00-GAME000000000000	EP	EP0001
PPSA01510_00	234423	Immortals Fenyx Rising ™	EP0001-PPSA01510_00-GAME000000000000	EP	EP0001
PPSA01516_00	233592	Tom Clancy's Rainbow Six® Extraction	EP0001-PPSA01516_00-R6EXTRACTION0000	EP	EP0001
PPSA01517_00	233592	Tom Clancy's Rainbow Six® Extraction	EP0001-PPSA01517_00-R6EXTRACTION0000	EP	EP0001
PPSA01521_00	10000886	Horizon Forbidden West	EP9000-PPSA01521_00-FORBIDDENWESTPS5	EP	EP9000
PPSA01526_00	10000898	Worms Rumble	EP4064-PPSA01526_00-7366148917983053	EP	EP4064
PPSA01528_00	10000899	Overcooked! All You Can Eat	EP4064-PPSA01528_00-0538983162460184	EP	EP4064
PPSA01532_00	10000237	Assassin's Creed® Valhalla	EP0001-PPSA01532_00-GAME000000000000	EP	EP0001
PPSA01533_00	10000237	Assassin's Creed® Valhalla	EP0001-PPSA01533_00-GAME000000000000	EP	EP0001
PPSA01536_00	10000908	NHL™ 22	EP0006-PPSA01536_00-NHLPS5HOCKEY2022	EP	EP0006
PPSA01546_00	10000938	Call of the Sea	EP2187-PPSA01546_00-CALLOFTHESEA0000	EP	EP2187
PPSA01551_00	234401	DIRT5	EP4001-PPSA01551_00-DIRTFIVEPS5EDITI	EP	EP4001
PPSA01557_00	235235	Resident Evil Village	EP0102-PPSA01557_00-VILLAGEFULLGAMEX	EP	EP0102
PPSA01562_00	10000983	Haven	EP0771-PPSA01562_00-3682614698353243	EP	EP0771
PPSA01570_00	10001007	Sable	EP2187-PPSA01570_00-SABLETHEGAMEEUP5	EP	EP2187
PPSA01575_00	235179	Avatar: Frontiers of Pandora™	EP0001-PPSA01575_00-AVATAR2GAME00001	EP	EP0001
PPSA01577_00	10000177	Sackboy: A Big Adventure	EP9000-PPSA01577_00-GINGERBREADTHB01	EP	EP9000
PPSA01578_00	10000178	Destruction AllStars (TM)	EP9000-PPSA01578_00-MAYHEMTHB0000001	EP	EP9000
PPSA01592_00	10000793	Chorus	EP4062-PPSA01592_00-CHORUSGAMESHARED	EP	EP4062
PPSA01597_00	10001061	Klang 2	EP0896-PPSA01597_00-RATALAIKAGKLANG2	EP	EP0896
PPSA01599_00	235338	RIDE 4	EP4356-PPSA01599_00-RIDE4FULLGAME000	EP	EP4356
PPSA01603_00	232447	Hogwarts Legacy	EP1018-PPSA01603_00-HOGWARTSLEGACY01	EP	EP1018
PPSA01608_00	10000838	Monster Energy Supercross - The Official Videogame 4	EP4356-PPSA01608_00-SUPERCROSS4FGAME	EP	EP4356
PPSA01615_00	203054	Netflix	EP4350-PPSA01615_00-NETFLIXGEMINI001	EP	EP4350
PPSA01619_00	231756	Mortal Kombat 11	EP1018-PPSA01619_00-00MORTALKOMBAT11	EP	EP1018
PPSA01623_00	10001095	Exoprimal	EP0102-PPSA01623_00-EXOPRIMAL2023000	EP	EP0102
PPSA01632_00	234843	Marvel's Avengers	EP0082-PPSA01632_00-3156481590490967	EP	EP0082
PPSA01646_00	10001129	MXGP 2020 - The Official Motocross Videogame	EP4356-PPSA01646_00-MXGP2020FULLGAME	EP	EP4356
PPSA01651_00	205453	YouTube	EP4381-PPSA01651_00-YOUTUBESIEE00000	EP	EP4381
PPSA01660_00	203897	Tom Clancy's Rainbow Six® Siege	EP0001-PPSA01660_00-RAINBOWSIXSIEGE0	EP	EP0001
PPSA01666_00	204778	Twitch	EP8816-PPSA01666_00-TWITCHPS5APPSCEE	EP	EP8816
PPSA01669_00	10000952	Super Monkey Ball Banana Mania	EP0177-PPSA01669_00-FLASH2EU00000005	EP	EP0177
PPSA01670_00	10000185	DEATHLOOP	EP1003-PPSA01670_00-DEATHLOOP0000000	EP	EP1003
PPSA01683_00	10001225	Park Beyond	EP0700-PPSA01683_00-PARKBEYOND000001	EP	EP0700
PPSA01690_00	10000368	Demon's Souls Original Soundtrack	EP9000-PPSA01690_00-DEMONSSOULSMUSIC	EP	EP9000
PPSA01694_00	10000653	Lost In Random™	EP0006-PPSA01694_00-LOSTINRANDOMGAME	EP	EP0006
PPSA01696_00	233064	Back 4 Blood	EP1018-PPSA01696_00-BACK4BLOOD000000	EP	EP1018
PPSA01717_00	10001269	Need for Speed™ Unbound	EP0006-PPSA01717_00-NEEDFORSPEED2022	EP	EP0006
PPSA01721_00	201930	Grand Theft Auto V	EP1004-PPSA01721_00-GTAONLINEDIGITAL	EP	EP1004
PPSA01735_00	235039	Planet Coaster	EP2377-PPSA01735_00-PLANETCOASTER000	EP	EP2377
PPSA01749_00	231769	Metro Exodus	EP4062-PPSA01749_00-METROEXODUS0GEN9	EP	EP4062
PPSA01750_00	234665	Marvel's Guardians of the Galaxy	EP0082-PPSA01750_00-DXM0000000000001	EP	EP0082
PPSA01754_00	10001026	JETT: THE FAR SHORE	EP2207-PPSA01754_00-4250958198786703	EP	EP2207
PPSA01763_00	10001332	Terminator: Resistance Enhanced	EP4060-PPSA01763_00-TERMINATORPS5VER	EP	EP4060
PPSA01769_00	10000248	HITMAN 3	EP3969-PPSA01769_00-HITMANGAME000003	EP	EP3969
PPSA01772_00	10001340	The Sinking City	EP5205-PPSA01772_00-THESINKINGCITYUA	EP	EP5205
PPSA01779_00	227401	OUTRIDERS	EP0082-PPSA01779_00-1955314285649692	EP	EP0082
PPSA01782_00	10001083	Apple TV	EP6365-PPSA01782_00-5583812112998676	EP	EP6365
PPSA01801_00	10001170	Temtem	EP3717-PPSA01801_00-TEMTEM000000000A	EP	EP3717
PPSA01802_00	10001235	Kena: Bridge of Spirits	EP4609-PPSA01802_00-KENA000100000005	EP	EP4609
PPSA01809_00	10000177	Sackboy: A Big Adventure - The Gathering Storm	EP9000-PPSA01809_00-SACKBOYCOMIC0001	EP	EP9000
PPSA01814_00	10000177	Sackboy: A Big Adventure Bonus Content	EP9000-PPSA01814_00-SACKBOYBONUS0001	EP	EP9000
PPSA01819_00	10001127	CCGT1	EP8966-PPSA01819_00-HWRL000000000000	EP	EP8966
PPSA01826_00	233096	The Pathless	EP2333-PPSA01826_00-PATHLESSSIEE0000	EP	EP2333
PPSA01829_00	10001412	WG E2E 072720 P SHARED TEST C1 FG1 - PATCH Version 2 - PlayGo Game Sample(EU)	EP8964-PPSA01829_00-9842455413488094	EP	EP8964
PPSA01832_00	10001413	Maquette	EP2333-PPSA01832_00-MAQUETTESIEE0000	EP	EP2333
PPSA01839_00	10001407	DYNASTY WARRIORS 9 Empires	EP4108-PPSA01839_00-HORNETMASTER0000	EP	EP4108
PPSA01859_00	235235	MAIDEN	EP0102-PPSA01859_00-DEMOVILLAGE00001	EP	EP0102
PPSA01862_00	233202	Maneater	EP0114-PPSA01862_00-MANEATER00000001	EP	EP0114
PPSA01865_00	232847	LEGO® Star Wars™: The Skywalker Saga	EP1018-PPSA01865_00-LEGOSWTSS0000000	EP	EP1018
PPSA01870_00	233961	Far Cry® 6	EP0001-PPSA01870_00-FARCRY6GAME00000	EP	EP0001
PPSA01874_00	233961	Far Cry® 6	EP0001-PPSA01874_00-FARCRY6GAME00000	EP	EP0001
PPSA01875_00	233961	Far Cry® 6	EP0001-PPSA01875_00-FARCRY6GAME00000	EP	EP0001
PPSA01881_00	10001441	Quake	EP1003-PPSA01881_00-PROJECTSILVER000	EP	EP1003
PPSA01883_00	10001329	Cyber Shadow	EP8903-PPSA01883_00-CYBERSHADOW00001	EP	EP8903
PPSA01885_00	10001442	Evergate	EP4293-PPSA01885_00-000EVERGATEPS5EU	EP	EP4293
PPSA01899_00	10000348	Hunting Simulator 2	EP4008-PPSA01899_00-HS20SIEE00000000	EP	EP4008
PPSA01901_00	10000346	Monster Truck Championship	EP4008-PPSA01901_00-MTC0000000000000	EP	EP4008
PPSA01908_00	10001467	Override 2: Super Mech League	EP4908-PPSA01908_00-OVERRIDEBASEGAME	EP	EP4908
PPSA01909_00	10001449	Pluto TV	EP6487-PPSA01909_00-3695076067158400	EP	EP6487
PPSA01911_00	228744	FINAL FANTASY VII REMAKE	EP0082-PPSA01911_00-2887437947778581	EP	EP0082
PPSA01913_00	227519	The Persistence Enhanced Edition	EP3393-PPSA01913_00-PERSISTENCEX2020	EP	EP3393
PPSA01917_00	10000178	The Art of Destruction AllStars™	EP9000-PPSA01917_00-DESTALLSTARSART1	EP	EP9000
PPSA01923_00	228748	Fortnite	EP1464-PPSA01923_00-FORTNITETESTING2	EP	EP1464
PPSA01925_00	10001478	Alan Wake Remastered	EP1464-PPSA01925_00-AWREMASTERED0001	EP	EP1464
PPSA01936_00	203383	Plex	EP4544-PPSA01936_00-9549704841514692	EP	EP4544
PPSA01938_00	10000431	Puyo Puyo™ Tetris® 2	EP0177-PPSA01938_00-TENPEXTENPEX0000	EP	EP0177
PPSA01942_00	200880	Crunchyroll	EP8805-PPSA01942_00-1645039196347446	EP	EP8805
PPSA01948_00	205366	War Thunder	EP4432-PPSA01948_00-5311322004715828	EP	EP4432
PPSA01951_00	231819	Control Ultimate Edition	EP4040-PPSA01951_00-CONTROLUEPS50000	EP	EP4040
PPSA01952_00	10001499	Metal: Hellsinger	EP1833-PPSA01952_00-METALHELLSINGER0	EP	EP1833
PPSA01959_00	10000299	Poker Club	EP4337-PPSA01959_00-POKERCLUB0000001	EP	EP4337
PPSA01965_00	233448	CRSED	EP4432-PPSA01965_00-2179514901178236	EP	EP4432
PPSA01968_00	234585	DEATH STRANDING DIRECTOR'S CUT	EP9000-PPSA01968_00-DEATHSTRANDINGEU	EP	EP9000
PPSA01975_00	10001514	CANAL+	EP6493-PPSA01975_00-1123761846452424	EP	EP6493
PPSA01976_00	10001521	Stan	EP8814-PPSA01976_00-7157226033474122	EP	EP8814
PPSA01978_00	235108	Sherlock Holmes Chapter One	EP5205-PPSA01978_00-SHCOFROGWARESUAK	EP	EP5205
PPSA01980_00	205342	Warframe	EP2097-PPSA01980_00-7357509687265755	EP	EP2097
PPSA01982_00	232624	DOOM Eternal	EP1003-PPSA01982_00-DOOM05PS50000000	EP	EP1003
PPSA02006_00	10001528	Martha Is Dead	EP4382-PPSA02006_00-MARTHAISDEAD0000	EP	EP4382
PPSA02008_00	212581	World of Tanks	EP1566-PPSA02008_00-0511701011790611	EP	EP1566
PPSA02010_00	10000593	GoonyaFighter JigglyHapticEdition	EP2703-PPSA02010_00-7078943190047982	EP	EP2703
PPSA02018_00	204861	The Elder Scrolls Online	EP1003-PPSA02018_00-OSPREYGAMECLIENT	EP	EP1003
PPSA02019_00	10001023	Tennis World Tour 2	EP4008-PPSA02019_00-TWT2SIEE00000000	EP	EP4008
PPSA02047_00	235172	Life is Strange: True Colors™	EP0082-PPSA02047_00-4588917401265178	EP	EP0082
PPSA02049_00	227319	Dead by Daylight	EP3367-PPSA02049_00-DEADBYDAYLIGHT00	EP	EP3367
PPSA02050_00	233407	Call of Duty®: Black Ops Cold War	EP0002-PPSA02050_00-CODCWTHEGAME0001	EP	EP0002
PPSA02051_00	233407	Call of Duty®: Black Ops Cold War	EP0002-PPSA02051_00-CODCWTHEGAME0001	EP	EP0002
PPSA02055_00	234784	Rocksmith™+	EP0001-PPSA02055_00-RS300000000000EU	EP	EP0001
PPSA02058_00	10000633	BALAN WONDERWORLD	EP0082-PPSA02058_00-BALANWW5E0000001	EP	EP0082
PPSA02064_00	235097	SCARLET NEXUS Demo Edition	EP0700-PPSA02064_00-SCRLTNXSTRIAL000	EP	EP0700
PPSA02070_00	222250	Don't Starve Together: Console Edition	EP2107-PPSA02070_00-DSTCEPS5PORTSIEE	EP	EP2107
PPSA02076_00	10001348	Roguebook	EP4008-PPSA02076_00-RBK0000000000000	EP	EP4008
PPSA02078_00	221678	DAZN	EP8819-PPSA02078_00-5349039255425945	EP	EP8819
PPSA02082_00	200242	Prime Video	EP4183-PPSA02082_00-4994371028836122	EP	EP4183
PPSA02085_00	10001412	WG E2E 072720 P SHARED TEST C1 DEMO1 - PATCH Version 2 - PlayGo Demo Sample(EU)	EP8964-PPSA02085_00-2505200333412929	EP	EP8964
PPSA02092_00	235037	Rogue Company	EP0331-PPSA02092_00-ROGUECOMPANYXXXX	EP	EP0331
PPSA02094_00	10000754	Atelier Ryza 2: Lost Legends & the Secret Fairy	EP4108-PPSA02094_00-RYZA200000MASTER	EP	EP4108
PPSA02101_00	10001114	Stray	EP2333-PPSA02101_00-STRAYSIEE0000000	EP	EP2333
PPSA02113_00	234709	Werewolf: The Apocalypse - Earthblood	EP4008-PPSA02113_00-WTASIEE000000000	EP	EP4008
PPSA02117_00	10001519	Observer: System Redux	EP4176-PPSA02117_00-OBSERVER0SR00000	EP	EP4176
PPSA02119_00	228772	MEGOGO - TV and Movies	EP8839-PPSA02119_00-26455798001468UA	EP	EP8839
PPSA02120_00	228772	MEGOGO - TV and Movies	EP8849-PPSA02120_00-34926062780433RU	EP	EP8849
PPSA02123_00	10001088	Cris Tales	EP4908-PPSA02123_00-CRISTALES0000000	EP	EP4908
PPSA02129_00	233373	BT Sport	EP8846-PPSA02129_00-7457538010788273	EP	EP8846
PPSA02148_00	202378	King Oddball	EP4403-PPSA02148_00-KINGODDBALL00000	EP	EP4403
PPSA02154_00	232583	Little Nightmares II	EP0700-PPSA02154_00-LITTLENIGHTS2000	EP	EP0700
PPSA02169_00	10000293	Hood: Outlaws & Legends	EP4133-PPSA02169_00-00000000HOODGAME	EP	EP4133
