titleId	conceptId	name	contentId	region	publisherId	psVR	pS4Pro	pS5BackCompat
CUSA00014_00	202340	KNACK	JP9000-CUSA00014_00-KNACK00000000000	JP	JP9000		Supported	Compatible
CUSA00022_00	205264	WATCH_DOGS™	JP0001-CUSA00022_00-WATCHDOGS0000000	JP	JP0001			Compatible
CUSA00064_00	201172	DRIVECLUB™	JP9000-CUSA00064_00-XXXXXXXDRIVECLUB	JP	JP9000			Compatible
CUSA00070_00	205041	The Order: 1886	JP9000-CUSA00070_00-TO1886GAME000000	JP	JP9000			Compatible
CUSA00085_00	202335	KILLZONE® SHADOW FALL	JP9000-CUSA00085_00-KZ4RELEASE000041	JP	JP9000			Compatible
CUSA00108_00		The Tomorrow Children™	JP9000-CUSA00108_00-TTC0000000000000	JP	JP9000			Bootable
CUSA00125_00	226917	とってもE麻雀ぷらす	JP0036-CUSA00125_00-EMAHJONGPLUS0000	JP	JP0036			Compatible
CUSA00134_00	209689	NBA 2K14	JP0230-CUSA00134_00-NBA2K14000000000	JP	JP0230			Compatible
CUSA00152_00	201305	Escape Plan	JP9000-CUSA00152_00-ESCPGAMEMASTERJP	JP	JP9000			Compatible
CUSA00154_00	204435	Sound Shapes	JP9000-CUSA00154_00-SOUNDSHAPES00000	JP	JP9000			Compatible
CUSA00155_00	201399	FIFA 14	JP0006-CUSA00155_00-FIFAFOOTBALL2014	JP	JP0006			Compatible
CUSA00156_00	203064	Need for Speed™ Rivals	JP0006-CUSA00156_00-NFS14000PS4000JA	JP	JP0006			Compatible
CUSA00157_00	200449	Battlefield 4™	JP0006-CUSA00157_00-BATTLEFIELD40000	JP	JP0006			Compatible
CUSA00162_00	200759	Call of Duty® Ghosts	JP0082-CUSA00162_00-CALLDUTYGHOSTSDL	JP	JP0082			Compatible
CUSA00163_00	203728	龍が如く 維新！	JP0177-CUSA00163_00-RYUGAGOTOKUISHIN	JP	JP0177			Compatible
CUSA00164_00	204227	ストライダー飛竜	JP0102-CUSA00164_00-STRJPHG4TRIAL001	JP	JP0102			Compatible
