titleId	conceptId	name	contentId	region	publisherId	psVR	pS4Pro	pS5BackCompat
CUSA01038_00	200075	AKIBA'S TRIP 2	HP0048-CUSA01038_00-AKIBASNEXTAPP000	HP	HP0048			Compatible
CUSA04632_00	200163	進擊的巨人	HP0106-CUSA04632_00-AT1CHHDDGAME0000	HP	HP0106			Compatible
CUSA04735_00	200163	진격의거인	KP5014-CUSA04735_00-AT1KRHDDGAME0000	KP	KP5014			Compatible
CUSA03987_00	200190	蘇菲的鍊金工房 ～不可思議書的鍊金術士～	HP0106-CUSA03987_00-SOPHIE00MASTER00	HP	HP0106			Compatible
CUSA04199_00	200190	소피의 아틀리에 ～신비한 책의 연금술사～	KP5014-CUSA04199_00-SOPHIE00MASTER00	KP	KP5014			Compatible
CUSA03099_00	200242	Prime Video	JA0011-CUSA03099_00-AMAZONVIDEOJAPAN	JA	JA0011			Not Compatible
CUSA03413_00	200242	モリー Beta	JA0011-CUSA03413_00-AMAZONVIDEOBETA0	JA	JA0011			
CUSA02181_00	200254	Animax	JA0009-CUSA02181_00-WEBMAFANIMAXPLUS	JA	JA0009			
CUSA01572_00	200294	街机档案 少年忍者 魔城大冒险	HP0571-CUSA01572_00-HAMPRDC000000001	HP	HP0571			Compatible
CUSA01806_00	200294	Arcade Archives Ninja-Kid	HP0571-CUSA01806_00-HAMPRDC000000001	HP	HP0571			Compatible
CUSA01573_00	200295	街机档案 疯狂攀爬者	HP0571-CUSA01573_00-HAMPRDC000000001	HP	HP0571			Compatible
CUSA01804_00	200295	Arcade Archives CRAZY CLIMBER	HP0571-CUSA01804_00-HAMPRDC000000001	HP	HP0571			Compatible
CUSA01574_00	200299	街机档案 疯狂摔跤 惊心时刻	HP0571-CUSA01574_00-HAMPRDC000000001	HP	HP0571			Compatible
CUSA01807_00	200299	Arcade Archives MAT MANIA EXCITING HOUR	HP0571-CUSA01807_00-HAMPRDC000000001	HP	HP0571			Compatible
CUSA03045_00	200461	Battle Islands	HP1390-CUSA03045_00-BATTLEISLANDASIA	HP	HP1390		Supported	Compatible
