titleId	conceptId	name	contentId	region	publisherId	psVR	pS4Pro	pS5BackCompat
CUSA45239_00	10009237	.T.E.S.T: Expected Behaviour	HP7889-CUSA45239_00-TESTEXPECTEDBEAS	HP	HP7889		Supported	Compatible
CUSA41051_00	10007454	"""Buy The Game, I Have a Gun"" -Sheesh-Man"	HP7632-CUSA41051_00-0839485284018877	HP	HP7632		Supported	Compatible
CUSA41275_00	10007454	"""Buy The Game, I Have a Gun"" -Sheesh-Man"	HP7632-CUSA41275_00-0128458265955803	HP	HP7632		Supported	Compatible
CUSA19391_00	234921	《刀劍神域 彼岸遊境》數位遊戲原聲帶	HP0700-CUSA19391_00-SAOAL00000000000	HP	HP0700			Compatible
CUSA17014_00	233628	《壁中精灵》额外内容	HP9000-CUSA17014_00-DIGITALARTSOUND0	HP	HP9000		Supported	Compatible
CUSA09214_00	228943	《幻象大师》伊涅斯塔VR纪录片	HP1614-CUSA09214_00-ANDRESINIESTA0VR	HP	HP1614	Required	Supported	Compatible
CUSA09518_00	217223	《钠克的大冒险：双英与古代兵团》原声带	HP9000-CUSA09518_00-KNACK2SOUNDTRACK	HP	HP9000		Supported	Compatible
CUSA17308_00	233715	『사쿠라대전』 역대 가요집	HP0177-CUSA17308_00-NEWSAKURADELSONG	HP	HP0177			Compatible
CUSA17307_00	233715	『사쿠라대전』 역대 아트북	HP0177-CUSA17307_00-NEWSAKURADELBOOK	HP	HP0177		Supported	Compatible
CUSA12863_00	205421	『용과 같이3』 오리지널 사운드 트랙	HP0177-CUSA12863_00-SOUNDTRACK000001	HP	HP0177		Supported	Compatible
CUSA14592_00	205422	『용과 같이4』 오리지널 사운드 트랙	HP0177-CUSA14592_00-SOUNDTRACK000001	HP	HP0177		Supported	Compatible
CUSA15678_00	233520	『용과 같이5』 오리지널 사운드 트랙	HP0177-CUSA15678_00-SOUNDTRACK000001	HP	HP0177		Supported	Compatible
CUSA08401_00	221809	『이스 VIII -Lacrimosa of DANA-』 최신 체험판	HP0425-CUSA08401_00-YS08KRTRIAL00000	HP	HP0425		Supported	
CUSA12862_00	205421	『人中之龍３』原聲帶	HP0177-CUSA12862_00-SOUNDTRACK000001	HP	HP0177		Supported	Compatible
CUSA14591_00	205422	『人中之龍4』原聲帶	HP0177-CUSA14591_00-SOUNDTRACK000001	HP	HP0177		Supported	Compatible
CUSA15677_00	233520	『人中之龍5』原聲帶	HP0177-CUSA15677_00-SOUNDTRACK000001	HP	HP0177		Supported	Compatible
CUSA08398_00	221809	『伊蘇Ⅷ -丹娜的隕涕日-』	HP0425-CUSA08398_00-YS08TCGAME000000	HP	HP0425		Supported	Compatible
CUSA08400_00	221809	『伊蘇Ⅷ -丹娜的隕涕日-』最速體驗版	HP0425-CUSA08400_00-YS08TCTRIAL00000	HP	HP0425		Supported	
CUSA04889_00	207049	『勇者鬥惡龍　創世小玩家』體驗版	HP0082-CUSA04889_00-BUILDERS00000000	HP	HP0082			
CUSA07116_00	216177	『勇者鬥惡龍 英雄集結Ⅱ 雙子之王與預言的終焉』體驗版	HP0082-CUSA07116_00-DQHGAME000000000	HP	HP0082			
CUSA19307_00	235335	『勇者鬥惡龍XI S 尋覓逝去的時光 - Definitive Edition』體驗版	HP0082-CUSA19307_00-0000000000000000	HP	HP0082		Supported	Compatible
CUSA17306_00	233715	『櫻花大戰』歷代歌謠集	HP0177-CUSA17306_00-NEWSAKURADELSONG	HP	HP0177			Compatible
CUSA17303_00	233715	『櫻花大戰』歷代美術集	HP0177-CUSA17303_00-NEWSAKURADELBOOK	HP	HP0177		Supported	Compatible
CUSA25071_00	10001700	#SinucaAttack	HP2005-CUSA25071_00-SINUCA0000000000	HP	HP2005			Compatible
CUSA14895_00	232857	√Letter Last Answer	HP3256-CUSA14895_00-ROOTLETTERLAST00	HP	HP3256		Supported	Compatible
CUSA06058_00	217641	√Letter 루트 레터	HP2281-CUSA06058_00-PKG000000000GAME	HP	HP2281			Compatible
CUSA05530_00	217641	√Letter 方根書簡	HP0117-CUSA05530_00-PKG000000000GAME	HP	HP0117			Compatible
CUSA27427_00	10002669	0 Degrees	HP2005-CUSA27427_00-ZERODEGREES00000	HP	HP2005			Compatible
CUSA20473_00	10000939	112th Seed	HP2005-CUSA20473_00-112THSEED0000000	HP	HP2005		Supported	Compatible
CUSA42688_00	10008111	15in1 Solitaire	HP0874-CUSA42688_00-0000000000000000	HP	HP0874		Supported	Compatible
CUSA45839_00	10002780	16-bit風格混音專輯 & 數位・美術書	HP0177-CUSA45839_00-UOSOUNDARTBOOK00	HP	HP0177		Supported	Compatible
CUSA30322_00	10003781	20 Bunnies	HP2005-CUSA30322_00-TWENTYBUNNIES000	HP	HP2005		Supported	Compatible
CUSA08280_00	221771	20th ANNIVERSARY OF PERSONA SERIES ALL TIME BEST SOUND TRACK	HP0177-CUSA08280_00-SOUNDTRACK000001	HP	HP0177		Supported	Compatible
CUSA34440_00	10002438	35MM	HP1792-CUSA34440_00-SYPS435MM0000000	HP	HP1792			Compatible
CUSA12127_00	229765	36 Fragments of Midnight	HP2005-CUSA12127_00-36FRAGMENTSASIA0	HP	HP2005		Supported	Compatible
CUSA16532_00	233874	39 Days to Mars	HP1273-CUSA16532_00-MARS000000000001	HP	HP1273		Supported	Compatible
CUSA18412_00	233874	39 Days to Mars	HP1273-CUSA18412_00-MARS000000000001	HP	HP1273		Supported	Compatible
CUSA03963_00	217611	3on3 Freestyle	HP1573-CUSA03963_00-3ON3FREESTYLE001	HP	HP1573			Compatible
CUSA06185_00	217611	3on3 Freestyle	HP5041-CUSA06185_00-3ON3FREESTYLECN1	HP	HP5041			Compatible
CUSA06261_00	217611	3on3 FreeStyle	HP1573-CUSA06261_00-3ON3FREESTYLE001	HP	HP1573		Supported	Compatible
CUSA07251_00	217611	3on3 FreeStyle	HP5041-CUSA07251_00-3ON3FREESTYLEPW1	HP	HP5041		Supported	Compatible
CUSA07831_00	225256	4여신 온라인 CYBER DIMENSION NEPTUNE	KP0004-CUSA07831_00-CYONMEGAMIONLINE	KP	KP0004		Supported	Compatible
CUSA26513_00	10002293	890B	HP2005-CUSA26513_00-890B000000000000	HP	HP2005		Supported	Compatible
CUSA33082_00	10004828	8Doors	HP1804-CUSA33082_00-3902722959651983	HP	HP1804			Compatible
CUSA40470_00	10007145	A Building Full of Cats	HP0874-CUSA40470_00-0301790737776707	HP	HP0874		Supported	Compatible
CUSA43657_00	10008505	A Castle Full of Cats	HP0874-CUSA43657_00-0197297061001848	HP	HP0874		Supported	Compatible
CUSA30652_00	10003592	A Day Without Me	HP6533-CUSA30652_00-ADAYWITHOUTME0AS	HP	HP6533			Compatible
CUSA20188_00	10000712	A HERO AND A GARDEN	HP2005-CUSA20188_00-AHEROANDAGARDEN0	HP	HP2005		Supported	Compatible
CUSA30796_00	234887	A Light in the Dark	HP0786-CUSA30796_00-2611031376856054	HP	HP0786			Compatible
CUSA45752_00	10009476	A Little Walk in the Woods	HP7141-CUSA45752_00-0364039445416887	HP	HP7141		Supported	Compatible
CUSA39498_00	10006925	A Matter of Principle	HP6691-CUSA39498_00-MATTERPRINCIPLAS	HP	HP6691		Supported	Compatible
CUSA30381_00	10003796	A Memoir Blue	HP2418-CUSA30381_00-AMBSIEJASIA00000	HP	HP2418			Compatible
CUSA29980_00	10003653	A Monster's Expedition	HP7126-CUSA29980_00-AMONSTEREXPPS4AS	HP	HP7126		Supported	Compatible
CUSA31114_00	10003653	A Monster's Expedition Original Soundtrack	HP7126-CUSA31114_00-MONSTEREXOSTSIES	HP	HP7126			Compatible
CUSA10849_00	231060	A Room Where Art Conceals	HP1273-CUSA10849_00-0000000000000000	HP	HP1273	Required	Supported	Compatible
CUSA19603_00	10000637	A summer with the Shiba Inu	HP2005-CUSA19603_00-SUMMERSHIBAINU00	HP	HP2005		Supported	Bootable
