titleId	conceptId	name	contentId	region	publisherId
PPSA01280_00	10000171	Share Factory Studio	IP9100-PPSA01280_00-SFSRELE000000100	IP	IP9100
PPSA01287_00	10000176	Returnal	HP9000-PPSA01287_00-RETURNAL00000000	HP	HP9000
PPSA01292_00	10000177	Sackboy™: A Big Adventure	HP9000-PPSA01292_00-SACKBOYADVENTURE	HP	HP9000
PPSA01318_00	10000956	Gran Turismo® 7	HP9000-PPSA01318_00-GRANTURISMO70000	HP	HP9000
PPSA01325_00	10000229	ASTRO's PLAYROOM	IP9100-PPSA01325_00-PREINMASTER00000	IP	IP9100
PPSA01340_00	10000368	Demon's Souls	HP9000-PPSA01340_00-DEMONSSOULS00000	HP	HP9000
PPSA01419_00	10000649	Marvel's Spider-Man: Miles Morales	HP9000-PPSA01419_00-MARVELSSMMORALES	HP	HP9000
PPSA01447_00	233226	Warhammer: Chaosbane - Slayer Edition	HP3119-PPSA01447_00-WHCBSIEASIA00000	HP	HP3119
PPSA01472_00	10000762	Marvel's Spider-Man Remastered	HP9000-PPSA01472_00-MARVELSSPIDERMAN	HP	HP9000
PPSA01476_00	10000669	Ratchet & Clank: Rift Apart	HP9000-PPSA01476_00-RATCHETCLANKRIFT	HP	HP9000
PPSA01486_00	10000810	CCGT0	IP9100-PPSA01486_00-HWRL000000000000	IP	IP9100
PPSA01540_00	10000854	Bugsnax	HP2104-PPSA01540_00-BSNAX16543620005	HP	HP2104
PPSA01559_00	235235	Resident Evil Village	HP0102-PPSA01559_00-VILLAGEFULLGAMEX	HP	HP0102
PPSA01614_00	203054	Netflix	UT0007-PPSA01614_00-NETFLIXGEMINI001	UT	UT0007
PPSA01616_00	203054	Netflix	JA0010-PPSA01616_00-NETFLIXGEMINI001	JA	JA0010
PPSA01634_00	234843	Marvel's Avengers	HP5028-PPSA01634_00-2886207441553590	HP	HP5028
PPSA01652_00	205453	YouTube	JA0004-PPSA01652_00-YOUTUBESIEJA0000	JA	JA0004
PPSA01659_00	10000988	My Videos	IP9000-PPSA01659_00-SAMPLEVIDEO00000	IP	IP9000
PPSA01667_00	204778	Twitch	HP8901-PPSA01667_00-TWITCHPS5APPASIA	HP	HP8901
PPSA01688_00	10001236	Hulu	JA0002-PPSA01688_00-6572720074441851	JA	JA0002
PPSA01689_00	10000368	Demon's Souls Original Soundtrack	HP9000-PPSA01689_00-DEMONSSOULSMUSIC	HP	HP9000
