titleId	conceptId	name	contentId	region	publisherId
PPSA02083_00	200242	Prime Video	JA0011-PPSA02083_00-1475656189905476	JA	JA0011
PPSA01762_00	201149	DMM.com	JA0012-PPSA01762_00-DMMCOMP050000000	JA	JA0012
PPSA01614_00	203054	Netflix	UT0007-PPSA01614_00-NETFLIXGEMINI001	UT	UT0007
PPSA01616_00	203054	Netflix	JA0010-PPSA01616_00-NETFLIXGEMINI001	JA	JA0010
PPSA01667_00	204778	Twitch	HP8901-PPSA01667_00-TWITCHPS5APPASIA	HP	HP8901
PPSA03793_00	205050	torne®	JA0003-PPSA03793_00-TORNEPS500000000	JA	JA0003
PPSA01868_00	205174	Vudu Movies and TV	UT0015-PPSA01868_00-VUDUSPS500000000	UT	UT0015
PPSA05686_00	205354	Uncharted™: Legacy of Thieves Collection	HP9000-PPSA05686_00-UNCHARTED4R00000	HP	HP9000
PPSA01652_00	205453	YouTube	JA0004-PPSA01652_00-YOUTUBESIEJA0000	JA	JA0004
PPSA01851_00	212195	U-NEXT	JA0018-PPSA01851_00-UNEXT00000000PS5	JA	JA0018
PPSA02068_00	212581	World of Tanks	HP5857-PPSA02068_00-3651038482014106	HP	HP5857
PPSA02112_00	216600	No Man's Sky	HP2034-PPSA02112_00-NOMANSSKYHG00001	HP	HP2034
PPSA06117_00	216918	Bard's Gold	HP1743-PPSA06117_00-BARDSGOLDGAME000	HP	HP1743
PPSA02080_00	221678	DAZN	JA0014-PPSA02080_00-6296785828844631	JA	JA0014
PPSA07156_00	225128	Demetrios the Big Cynical Adventure REPLASTERED	HP2005-PPSA07156_00-DEMETRIOSPS50000	HP	HP2005
PPSA07727_00	227353	Energy Cycle	HP1792-PPSA07727_00-SYPS5ENERGYCYCLE	HP	HP1792
PPSA01977_00	227401	OUTRIDERS	HP0082-PPSA01977_00-8006736154835408	HP	HP0082
PPSA02286_00	227401	OUTRIDERS - DEMO	HP0082-PPSA02286_00-6888537766810199	HP	HP0082
PPSA01773_00	228744	FINAL FANTASY VII REMAKE	HP0082-PPSA01773_00-7462776201452750	HP	HP0082
PPSA03238_00	228744	FINAL FANTASY® VII REMAKE INTERGRADE Digital Artbook	HP0082-PPSA03238_00-ARTBOOK000000000	HP	HP0082
PPSA03250_00	228744	FINAL FANTASY® VII REMAKE INTERGRADE Digital Mini Soundtrack	HP0082-PPSA03250_00-MINISOUNDTRACK00	HP	HP0082
PPSA02784_00	228981	Can't Drive This	HP1276-PPSA02784_00-CDTPS5NEXTGEN000	HP	HP1276
PPSA04290_00	229500	RESIDENT EVIL 2	HP0102-PPSA04290_00-BH2R000000000001	HP	HP0102
PPSA04637_00	230955	Skyrim	HP1003-PPSA04637_00-TESVSKYRIM000000	HP	HP1003
PPSA07153_00	231185	Xenon Valkyrie+	HP2005-PPSA07153_00-XENONPS500000000	HP	HP2005
PPSA07764_00	231262	Crypt of the Serpent King Remastered 4K Edition	HP2005-PPSA07764_00-COTSL4KEDITION00	HP	HP2005
PPSA06187_00	231711	Gear.Club Unlimited 2 Ultimate Edition	HP5035-PPSA06187_00-GCHDPS50000000AS	HP	HP5035
PPSA03159_00	231923	多重花园	HP1127-PPSA03159_00-MANIFGARDENASPS5	HP	HP1127
PPSA07154_00	232198	Riddled Corpses EX	HP2005-PPSA07154_00-RIDDLEDPS5000000	HP	HP2005
PPSA09654_00	232209	The Mooseman	HP1792-PPSA09654_00-SYPS5THEMOOSEMAN	HP	HP1792
PPSA08122_00	232509	Blood Waves	HP1792-PPSA08122_00-SYPS5BLOODWAVES0	HP	HP1792
PPSA02215_00	232583	Little Nightmares II 小小夢魘2	HP5028-PPSA02215_00-LITTLENIGHTS2000	HP	HP5028
PPSA02222_00	232624	DOOM Eternal	HP1003-PPSA02222_00-DOOM05PS50000000	HP	HP1003
PPSA09176_00	232725	Energy Cycle Edge	HP1792-PPSA09176_00-SYPS5ENCYCLEEDGE	HP	HP1792
PPSA01866_00	232847	LEGO® Star Wars™: The Skywalker Saga	HP1018-PPSA01866_00-LEGOSWTSS0000000	HP	HP1018
PPSA07093_00	232935	The Dark Pictures Anthology: Man of Medan	HP5028-PPSA07093_00-SMGDARKPICTURESA	HP	HP5028
PPSA03954_00	233069	RESIDENT EVIL 3	HP0102-PPSA03954_00-BH3ROFF000000001	HP	HP0102
PPSA02104_00	233096	The Pathless	HP2418-PPSA02104_00-PATHLESSSIEJASIA	HP	HP2418
PPSA09178_00	233207	Drowning	HP1792-PPSA09178_00-SYPS5DROWNING000	HP	HP1792
PPSA01447_00	233226	Warhammer: Chaosbane - Slayer Edition	HP3119-PPSA01447_00-WHCBSIEASIA00000	HP	HP3119
PPSA08082_00	233235	七龍珠Z 卡卡洛特	HP0700-PPSA08082_00-ATREMASTER001PS5	HP	HP0700
PPSA02053_00	233407	Call of Duty®: Black Ops Cold War	HP0002-PPSA02053_00-CODCWTHEGAME0001	HP	HP0002
PPSA09180_00	233463	OVIVO	HP1792-PPSA09180_00-SYPS5OVIVO000000	HP	HP1792
PPSA07874_00	233571	A Winter's Daydream	HP1792-PPSA07874_00-SYPS5AWINTERSDAY	HP	HP1792
PPSA07097_00	233621	Mount & Blade II: Bannerlord	HP4062-PPSA07097_00-MB2BANNERLORD000	HP	HP4062
PPSA04973_00	234070	River City Girls	HP5035-PPSA04973_00-RCG0000PS5ASIA01	HP	HP5035
PPSA09652_00	234491	Pantsu Hunter	HP1792-PPSA09652_00-SYPS5PANTSUHUNTE	HP	HP1792
PPSA04028_00	234567	Cyberpunk 2077	HP4497-PPSA04028_00-00000000000000N5	HP	HP4497
PPSA01971_00	234585	DEATH STRANDING DIRECTOR'S CUT	HP9000-PPSA01971_00-DEATHSTRANDINGAS	HP	HP9000
PPSA02627_00	234585	DEATH STRANDING DIRECTOR'S CUT Bonus Content	HP9000-PPSA02627_00-DEATHSTRANDEEBC0	HP	HP9000
PPSA02827_00	234665	Marvel's Guardians of the Galaxy	HP0082-PPSA02827_00-7702232332695629	HP	HP0082
PPSA09182_00	234743	STELLATUM	HP1792-PPSA09182_00-SYPS5STELLATUM00	HP	HP1792
PPSA08549_00	234750	Insomnis	HP0957-PPSA08549_00-2165042343890482	HP	HP0957
PPSA03423_00	234762	Chivalry 2 Beta	HP6475-PPSA03423_00-8165883753266894	HP	HP6475
PPSA03451_00	234762	Chivalry 2	HP6475-PPSA03451_00-6885030434662385	HP	HP6475
PPSA02796_00	234823	破曉傳奇	HP0700-PPSA02796_00-TOARISEPS5000001	HP	HP0700
PPSA03109_00	234823	破曉傳奇 體驗版	HP0700-PPSA03109_00-TOARISEPS5DEMO01	HP	HP0700
PPSA01634_00	234843	Marvel's Avengers	HP5028-PPSA01634_00-2886207441553590	HP	HP5028
PPSA05642_00	234859	Relayer	HP5846-PPSA05642_00-RELAYERGAME00000	HP	HP5846
PPSA06705_00	234859	Relayer Trial Version	HP5846-PPSA06705_00-RELAYERTRIAL0000	HP	HP5846
PPSA01929_00	235097	緋紅結繫	HP0700-PPSA01929_00-SCRLTNXS00000000	HP	HP0700
PPSA01930_00	235097	緋紅結繫 Demo Edition	HP0700-PPSA01930_00-SCRLTNXSTRIAL000	HP	HP0700
PPSA02399_00	235097	緋紅結繫 數位美術集＆數位原聲帶	HP0700-PPSA02399_00-SCRNXDIRDDXEDART	HP	HP0700
PPSA06297_00	235097	緋紅結繫 Story Demo	HP0700-PPSA06297_00-SCRLTNXSTRIAL001	HP	HP0700
PPSA03210_00	235227	Ghost of Tsushima	HP9000-PPSA03210_00-GHOSTSHIP0000000	HP	HP9000
PPSA05033_00	235227	Ghost of Tsushima	HP9000-PPSA05033_00-GHOSTSHIP0000000	HP	HP9000
PPSA06068_00	235228	Grizzland	HP2005-PPSA06068_00-GRIZZLANDGAME000	HP	HP2005
PPSA07096_00	235232	The Dark Pictures Anthology: Little Hope	HP5028-PPSA07096_00-SMGDARKPICTURESB	HP	HP5028
PPSA01559_00	235235	Resident Evil Village	HP0102-PPSA01559_00-VILLAGEFULLGAMEX	HP	HP0102
PPSA01857_00	235235	MAIDEN	HP0102-PPSA01857_00-DEMOVILLAGE00001	HP	HP0102
PPSA03155_00	235235	Resident Evil Village Gameplay Demo	HP0102-PPSA03155_00-DEMOVILLAGE00002	HP	HP0102
PPSA05055_00	235237	Without Escape	HP2005-PPSA05055_00-WITHOUTESCAPE000	HP	HP2005
PPSA04994_00	235242	ONE PIECE 時光旅詩	HP0700-PPSA04994_00-KIZOKAPPLI000000	HP	HP0700
PPSA09184_00	235309	Active Neurons	HP1792-PPSA09184_00-SYPS5ACTIVENEURO	HP	HP1792
PPSA01280_00	10000171	Share Factory Studio	IP9100-PPSA01280_00-SFSRELE000000100	IP	IP9100
PPSA01287_00	10000176	Returnal	HP9000-PPSA01287_00-RETURNAL00000000	HP	HP9000
PPSA02481_00	10000176	Returnal Original Soundtrack	HP9000-PPSA02481_00-RETURNALOST00001	HP	HP9000
PPSA01292_00	10000177	Sackboy™: A Big Adventure	HP9000-PPSA01292_00-SACKBOYADVENTURE	HP	HP9000
PPSA01811_00	10000177	Sackboy: A Big Adventure - The Gathering Storm	HP9000-PPSA01811_00-SACKBOYCOMIC0001	HP	HP9000
PPSA01816_00	10000177	Sackboy: A Big Adventure Bonus Content	HP9000-PPSA01816_00-SACKBOYBONUS0001	HP	HP9000
PPSA01920_00	10000178	The Art of Destruction AllStars	HP9000-PPSA01920_00-DESTALLSTARSART1	HP	HP9000
PPSA02714_00	10000178	Destruction AllStars™	HP9000-PPSA02714_00-DALLSTARSPLUS001	HP	HP9000
PPSA02532_00	10000185	DEATHLOOP	HP1003-PPSA02532_00-DEATHLOOP0000000	HP	HP1003
PPSA06053_00	10000208	Project Starship	HP2005-PPSA06053_00-STARSHIPPROJECT0	HP	HP2005
PPSA01325_00	10000229	ASTRO's PLAYROOM	IP9100-PPSA01325_00-PREINMASTER00000	IP	IP9100
PPSA06030_00	10000245	Task Force Kampas	HP2005-PPSA06030_00-TASKFORCEKAMPAS0	HP	HP2005
PPSA06042_00	10000260	Red Death	HP2005-PPSA06042_00-REDDEATHGAME0000	HP	HP2005
PPSA06038_00	10000261	Null Drifter	HP2005-PPSA06038_00-NULLDRIFTERGAME0	HP	HP2005
PPSA07155_00	10000266	Demon's Tier+	HP2005-PPSA07155_00-DEMONPS500000000	HP	HP2005
PPSA08927_00	10000271	Century : Age of Ashes	HP5879-PPSA08927_00-0000000000000000	HP	HP5879
PPSA02298_00	10000281	Concept Destruction	HP2005-PPSA02298_00-CONCEPTDESTRUCTN	HP	HP2005
PPSA04788_00	10000301	Ghostwire: Tokyo	HP1003-PPSA04788_00-GHOSTWIRETOKYOFG	HP	HP1003
PPSA04608_00	10000333	ELDEN RING™	HP0700-PPSA04608_00-ELDENRING0000000	HP	HP0700
PPSA05672_00	10000333	ELDEN RING™ Network Test Ver.	HP0700-PPSA05672_00-ELDENRINGNT00000	HP	HP0700
PPSA09740_00	10000337	聖塔神記 TRINITY TRIGGER	HP0036-PPSA09740_00-0000000000000000	HP	HP0036
PPSA02012_00	10000348	Hunting Simulator 2	HP3119-PPSA02012_00-HS20SIEJA0000000	HP	HP3119
PPSA01340_00	10000368	Demon's Souls	HP9000-PPSA01340_00-DEMONSSOULS00000	HP	HP9000
PPSA01689_00	10000368	Demon's Souls Original Soundtrack	HP9000-PPSA01689_00-DEMONSSOULSMUSIC	HP	HP9000
PPSA02330_00	10000453	GUILTY GEAR -STRIVE-	HP5028-PPSA02330_00-GGSTPS5000000000	HP	HP5028
PPSA02576_00	10000453	GUILTY GEAR -STRIVE- Open Beta	HP5028-PPSA02576_00-GGSTOBTAS0000100	HP	HP5028
PPSA02011_00	10000593	GoonyaFighter JigglyHapticEdition	HP2786-PPSA02011_00-0088253200196841	HP	HP2786
PPSA02059_00	10000633	BALAN WONDERWORLD	HP0082-PPSA02059_00-BALANWW5AS000001	HP	HP0082
PPSA01419_00	10000649	Marvel's Spider-Man: Miles Morales	HP9000-PPSA01419_00-MARVELSSMMORALES	HP	HP9000
PPSA01476_00	10000669	Ratchet & Clank: Rift Apart	HP9000-PPSA01476_00-RATCHETCLANKRIFT	HP	HP9000
PPSA03144_00	10000669	Ratchet & Clank: Rift Apart Digital Deluxe Edition Bonus Content	HP9000-PPSA03144_00-RIFTDIGITALBONUS	HP	HP9000
PPSA06046_00	10000679	Pity Pit	HP2005-PPSA06046_00-PITYPITGAME00000	HP	HP2005
PPSA06049_00	10000680	Many Faces	HP2005-PPSA06049_00-MANYFACES0000000	HP	HP2005
PPSA01425_00	10000684	DEATHVERSE: LET IT DIE	HP0747-PPSA01425_00-EAGAPP0000000000	HP	HP0747
PPSA07062_00	10000684	DEATHVERSE: LET IT DIE (Network Test)	HP0747-PPSA07062_00-EAGAPP0000000000	HP	HP0747
PPSA05470_00	10000691	Brotherhood United	HP2005-PPSA05470_00-BROTHERHOODUNITE	HP	HP2005
PPSA03687_00	10000719	Go!Go!5次元GAME 戰機少女 re★Verse	HP3256-PPSA03687_00-GOGOGOJIGENNEPR1	HP	HP3256
PPSA09650_00	10000748	Mask of Mists	HP1792-PPSA09650_00-SYPS5MASKOFMISTS	HP	HP1792
PPSA02095_00	10000754	萊莎的鍊金工房２ ～失落傳說與秘密妖精～	HP0106-PPSA02095_00-RYZA200000MASTER	HP	HP0106
PPSA01472_00	10000762	Marvel's Spider-Man Remastered	HP9000-PPSA01472_00-MARVELSSPIDERMAN	HP	HP9000
PPSA01486_00	10000810	CCGT0	IP9100-PPSA01486_00-HWRL000000000000	IP	IP9100
PPSA01540_00	10000854	Bugsnax	HP2104-PPSA01540_00-BSNAX16543620005	HP	HP2104
PPSA02585_00	10000896	Genshin Impact	HP6245-PPSA02585_00-0000000000000000	HP	HP6245
PPSA03924_00	10000939	112th Seed	HP2005-PPSA03924_00-112THSEED0000000	HP	HP2005
PPSA01318_00	10000956	Gran Turismo® 7	HP9000-PPSA01318_00-GRANTURISMO70000	HP	HP9000
PPSA05486_00	10000956	chess	HP9000-PPSA05486_00-GT7INTRNLTST0001	HP	HP9000
PPSA02467_00	10000983	Haven	HP0918-PPSA02467_00-HAVENPS5SIEJA001	HP	HP0918
PPSA01659_00	10000988	My Videos	IP9000-PPSA01659_00-SAMPLEVIDEO00000	IP	IP9000
PPSA03170_00	10000991	Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles	HP0177-PPSA03170_00-HINOKAMI00000000	HP	HP0177
PPSA03457_00	10000991	귀멸의 칼날 히노카미 혈풍담	HP0177-PPSA03457_00-HINOKAMI00000000	HP	HP0177
PPSA02657_00	10000995	Freddy Spaghetti	HP2005-PPSA02657_00-FREDDYSPAGHETTI0	HP	HP2005
PPSA03561_00	10000997	Infestor	HP2005-PPSA03561_00-INFESTOR00000000	HP	HP2005
PPSA02493_00	10001021	Aragami 2	HP5035-PPSA02493_00-9257700783258150	HP	HP5035
PPSA08389_00	10001043	I, AI	HP1792-PPSA08389_00-SYPS5IAI00000000	HP	HP1792
PPSA03113_00	10001055	Trigger Witch	HP2005-PPSA03113_00-TRIGGERWITCH0000	HP	HP2005
PPSA03363_00	10001070	靈魂駭客2	HP0177-PPSA03363_00-SOULHACKERS20000	HP	HP0177
PPSA07003_00	10001070	SOUL HACKERS 25th Anniversary Music Album	HP0177-PPSA07003_00-ANNIVERSARYMUSIC	HP	HP0177
PPSA07004_00	10001070	SOUL HACKERS 25th Anniversary Book	HP0177-PPSA07004_00-ANNIVERSARYBOOKC	HP	HP0177
PPSA09186_00	10001075	In rays of the Light	HP1792-PPSA09186_00-SYPS5THELIGHTREM	HP	HP1792
PPSA01784_00	10001083	Apple TV	HP6352-PPSA01784_00-0131951319324326	HP	HP6352
PPSA05164_00	10001098	SD GUNDAM 激鬥同盟	HP0700-PPSA05164_00-SDGUNBATTLEA0000	HP	HP0700
PPSA05696_00	10001098	SD GUNDAM 激鬥同盟 體驗版	HP0700-PPSA05696_00-SDGUNBATTLEA00PR	HP	HP0700
PPSA02103_00	10001114	Stray	HP2418-PPSA02103_00-STRAYSIEASIA0000	HP	HP2418
PPSA02559_00	10001115	Solar Ash	HP2418-PPSA02559_00-SOLARASHSIEJASIA	HP	HP2418
PPSA02341_00	10001116	Mr. DRILLER DrillLand	HP0700-PPSA02341_00-HP5MRDRILLERASIA	HP	HP0700
PPSA05542_00	10001116	Mr. DRILLER DrillLand DEMO	HP0700-PPSA05542_00-MRDRILLERDEMO000	HP	HP0700
PPSA07953_00	10001130	Call of Duty®: Modern Warfare II	HP0002-PPSA07953_00-COREGAME00000001	HP	HP0002
PPSA04218_00	10001234	Call of Duty®: Vanguard Alpha	HP0002-PPSA04218_00-CODVPUBLICALPHA1	HP	HP0002
PPSA04223_00	10001234	Call of Duty®: Vanguard Public Beta	HP0002-PPSA04223_00-CODVPUBLICBETA01	HP	HP0002
PPSA04351_00	10001234	Call of Duty®: Vanguard - Campaign 1	HP0002-PPSA04351_00-CODVCONTENTSP001	HP	HP0002
PPSA01688_00	10001236	Hulu	JA0002-PPSA01688_00-6572720074441851	JA	JA0002
PPSA03650_00	10001251	Skatemasta Tcheco	HP2005-PPSA03650_00-SKATEMASTATCHECO	HP	HP2005
PPSA02258_00	10001302	JOJO的奇妙冒險 群星之戰 重製版	HP0700-PPSA02258_00-JASBRMAINGAME000	HP	HP0700
PPSA06743_00	10001302	JOJO的奇妙冒險 群星之戰 重製版 限時早鳥體驗版	HP0700-PPSA06743_00-JOJOASBRDEMO0000	HP	HP0700
PPSA08776_00	10001302	JOJO的奇妙冒險 群星之戰 重製版 體驗版	HP0700-PPSA08776_00-JOJOASBRDEMO0001	HP	HP0700
PPSA03295_00	10001317	Kingdom of Arcadia	HP2005-PPSA03295_00-KINGDOMOFARCADIA	HP	HP2005
PPSA02476_00	10001332	Terminator: Resistance Enhanced	HP5980-PPSA02476_00-TERMINATORPS5VER	HP	HP5980
PPSA01834_00	10001413	Maquette	HP2418-PPSA01834_00-MAQUETTESIEJASIA	HP	HP2418
PPSA05021_00	10001457	Cannibal Cuisine	HP5112-PPSA05021_00-CANNIBALCUISINE1	HP	HP5112
PPSA03291_00	10001471	Mina & Michi	HP2005-PPSA03291_00-MINAANDMICHI0000	HP	HP2005
PPSA03301_00	10001472	Rage Among the Stars	HP2005-PPSA03301_00-RAGEAMONGTHESTAR	HP	HP2005
PPSA03758_00	10001473	Drunken Fist	HP2005-PPSA03758_00-DRUNKENFIST00000	HP	HP2005
PPSA08737_00	10001506	Tri6: Infinite	HP5780-PPSA08737_00-TRI6INFINITE0000	HP	HP5780
PPSA06034_00	10001508	Takotan	HP2005-PPSA06034_00-TKTN000000000000	HP	HP2005
PPSA03807_00	10001520	Fuga : Melodies of Steel	HP4578-PPSA03807_00-FUGA000000000000	HP	HP4578
PPSA05873_00	10001520	Fuga: Melodies of Steel - Deluxe Edition App	HP4578-PPSA05873_00-SOUNDTRACK000000	HP	HP4578
PPSA06541_00	10001520	Fuga: Melodies of Steel - Demo	HP4578-PPSA06541_00-FUGATRIAL0000000	HP	HP4578
PPSA02720_00	10001585	CrossKrush	HP2005-PPSA02720_00-CROSSKRUSH000000	HP	HP2005
PPSA02193_00	10001599	Praey For the Gods	HP1994-PPSA02193_00-5194387635813247	HP	HP1994
PPSA09188_00	10001641	Escape from Life Inc	HP1792-PPSA09188_00-SYPS5ESCAPELIFEI	HP	HP1792
PPSA04847_00	10001647	Bullet Beat	HP5361-PPSA04847_00-9534032194765660	HP	HP5361
PPSA04937_00	10001656	UEFA.tv	HP6543-PPSA04937_00-5569813318327725	HP	HP6543
PPSA02939_00	10001674	C14 Dating	HP2005-PPSA02939_00-C14DATING0000000	HP	HP2005
PPSA06056_00	10001700	#SinucaAttack	HP2005-PPSA06056_00-SINUCA0000000000	HP	HP2005
PPSA03461_00	10001725	Mighty Goose	HP1127-PPSA03461_00-MIGHTYGOOSE00001	HP	HP1127
PPSA02703_00	10001776	Anodyne 2: Return to Dust	HP2005-PPSA02703_00-ANODYNE200000000	HP	HP2005
PPSA04190_00	10001801	罪惡王權／Monark	HP5846-PPSA04190_00-MONARKAS00000000	HP	HP5846
PPSA09200_00	10001824	Mind Maze	HP1792-PPSA09200_00-SYPS5MINDMAZE000	HP	HP1792
PPSA08126_00	10001825	MEGALAN 11	HP1792-PPSA08126_00-SYPS5MEGALAN1100	HP	HP1792
PPSA09202_00	10001826	Dungeons & Bombs	HP1792-PPSA09202_00-SYPS5DUGEONSBOMB	HP	HP1792
PPSA04296_00	10001830	Enter Digiton: Heart of Corruption	HP2005-PPSA04296_00-ENTERDIGITON0000	HP	HP2005
PPSA03304_00	10001831	Rift Racoon	HP2005-PPSA03304_00-RIFTRACOON000000	HP	HP2005
PPSA03096_00	10001837	The Dark Pictures Anthology: House of Ashes	HP5028-PPSA03096_00-SMGDARKPICTURESC	HP	HP5028
PPSA02290_00	10001838	Last Stop	HP2418-PPSA02290_00-LASTSTOPSIEJASIA	HP	HP2418
PPSA08334_00	10001850	God of War Ragnarök	HP9000-PPSA08334_00-GOWRAGNAROK00000	HP	HP9000
PPSA07728_00	10001886	英雄傳說 黎之軌跡	HP5846-PPSA07728_00-EDKURONOKISEKI01	HP	HP5846
PPSA03841_00	10001956	Tactics Ogre: Reborn	HP0082-PPSA03841_00-7632183882394199	HP	HP0082
PPSA08862_00	10001987	SAMURAI MAIDEN	HP5846-PPSA08862_00-0000000000000000	HP	HP5846
